parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9962954645471145,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.1,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.20000000000000004,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.5759711547688677,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,10.46803188923094,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.4389701895645701,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.09695537399747016,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.34205115011353177,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.420724442139981,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.47823998325057965,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.004817247441411321,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.5686552617432575,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.5638380143018462,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
