parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound,held_fixed_in_this_pilot
beta_annual,0.9952765791045264,0.94,0.9995,discount,True,fixed_or_bounded_pilot_transition_parameter,False,True
kappa_fert,2.1681730392479377,0.02,50.0,log,True,fixed_or_bounded_pilot_transition_parameter,False,True
kappa_fert_continuation,1.7707705862013274,0.02,50.0,log,True,fixed_or_bounded_pilot_transition_parameter,False,True
chi,1.0537270178404272,0.1,5.0,log,True,fixed_or_bounded_pilot_transition_parameter,False,True
H0,13.71604910051014,0.2,80.0,log,True,fixed_or_bounded_pilot_transition_parameter,False,True
theta0,0.570349890219075,0.0,8.0,softzero,True,fixed_or_bounded_pilot_transition_parameter,False,True
theta1,0.10372395059042462,0.02,16.0,log,True,fixed_or_bounded_pilot_transition_parameter,True,True
hbar_child_rooms,0.24708490545163003,0.1,1.8,log,True,fixed_or_bounded_pilot_transition_parameter,False,True
first_birth_fixed_cost,4.619731383944025,0.0,8.0,softzero,True,fixed_or_bounded_pilot_transition_parameter,False,True
hbar_first_child_jump,0.4697651033802434,0.0,0.5,softzero,True,fixed_or_bounded_pilot_transition_parameter,False,True
psi_child_change_2023,-0.3213877962199821,-1.5,0.2,asinh,True,fixed_or_bounded_pilot_transition_parameter,False,True
psi_child_2007,0.2900515293650047,,,derived,False,externally_normalized_to_old_completed_fertility,False,True
psi_child_2023,-0.03133626685497737,,,derived,False,derived_from_old_intercept_and_transition_coordinate,False,True
tenure_choice_kappa,0.005,,,external_profile,False,externally_fixed_profile_not_estimated,False,True
housing_supply_elasticity,0.63,,,external_profile,False,externally_fixed_profile_not_estimated,False,True
