shape,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
-0.5,matched_pf_sequential,tfr,1.918,1.7957992853393838,-0.1222007146606161,1425.7389910084596,21.290581259146144,-4.614171784746006
-0.5,matched_pf_sequential,childless_rate,0.188,0.22939939831521156,0.041399398315211555,17180.743822072007,29.446251751423244,5.42644006245561
-0.5,matched_pf_sequential,mean_age_first_birth,26.0446272574833,26.239007661546214,0.19438040406291535,44.44444444444444,1.6792773992738772,1.2958693604194356
-0.5,matched_pf_sequential,share_first_births_age30plus,0.260327401666964,0.24433056119876262,-0.01599684046820138,10000.0,2.558989049650853,-1.5996840468201379
-0.5,matched_pf_sequential,housing_increment_0to1,0.7202462623815278,0.41188155815652916,-0.3083647042249986,137.5652749002964,13.08091564795804,-3.61675485040914
-0.5,matched_pf_sequential,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.34474699811351694,-0.02295256069648305,2958.514988007638,1.558604991795218,-1.2484410245563136
-0.5,matched_pf_sequential,own_family_gap,0.16766167,0.14673209850307722,-0.02092957149692279,14229.590955975675,6.233229103634937,-2.4966435675992953
-0.5,matched_pf_sequential,own_rate,0.575472,0.5874167544853838,0.01194475448538379,1207.8460856134493,0.17233204886953168,0.41512895450634574
-0.5,matched_pf_sequential,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.327498847807967,0.5475283658659995,11.973159013172177,3.5894011498575176,1.8945714950504027
-0.5,matched_pf_sequential,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.055364086411997,0.18226408641199665,6.287669427540395,0.2088776182836359,0.45703130995987123
-0.5,matched_pf_sequential,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008356668365003718,-0.0004433316349962829,5165289.256198346,1.0152011290727139,-1.0075718977188248
-0.5,matched_pf_sequential,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.346353625057636,-0.10175712938788406,56.95977216091135,0.5897907230338242,-0.7679783350028985
0.0,matched_pf_sequential,tfr,1.918,1.7771030122169797,-0.14089698778302018,1425.7389910084596,28.303715082820368,-5.320123596573708
0.0,matched_pf_sequential,childless_rate,0.188,0.2335966229890379,0.04559662298903791,17180.743822072007,35.719660285903906,5.976592698679065
0.0,matched_pf_sequential,mean_age_first_birth,26.0446272574833,26.233253453059945,0.18862619557664573,44.44444444444444,1.5813262958986225,1.2575079705109715
0.0,matched_pf_sequential,share_first_births_age30plus,0.260327401666964,0.2440931343060445,-0.016234267360919485,10000.0,2.6355143674581574,-1.6234267360919485
0.0,matched_pf_sequential,housing_increment_0to1,0.7202462623815278,0.41139985364989506,-0.3088464087316327,137.5652749002964,13.121815644074108,-3.622404677016927
0.0,matched_pf_sequential,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.347411092640745,-0.020288466169255004,2958.514988007638,1.2177894407252967,-1.103534974853673
0.0,matched_pf_sequential,own_family_gap,0.16766167,0.14658777581955856,-0.02107389418044145,14229.590955975675,6.319489636522643,-2.5138595101004837
0.0,matched_pf_sequential,own_rate,0.575472,0.5875077411569339,0.012035741156933955,1207.8460856134493,0.17496745486347431,0.4182911125800718
0.0,matched_pf_sequential,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.326207975961771,0.5462374940198034,11.973159013172177,3.572496108298678,1.8901047876503245
0.0,matched_pf_sequential,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.057293015359198,0.18419301535919796,6.287669427540395,0.2133221813579765,0.46186814282647437
0.0,matched_pf_sequential,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008354384286722928,-0.0004456157132770727,5165289.256198346,1.0256888632202181,-1.0127629847206197
0.0,matched_pf_sequential,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.346353625057636,-0.10175712938788406,56.95977216091135,0.5897907230338242,-0.7679783350028985
0.5,matched_pf_sequential,tfr,1.918,1.7586097458454197,-0.1593902541545802,1425.7389910084596,36.2212599488558,-6.01841008480278
0.5,matched_pf_sequential,childless_rate,0.188,0.23776227889016724,0.04976227889016724,17180.743822072007,42.54440791288257,6.522607447400355
0.5,matched_pf_sequential,mean_age_first_birth,26.0446272574833,26.227051584293257,0.1824243268099579,44.44444444444444,1.4790504449807256,1.2161621787330528
0.5,matched_pf_sequential,share_first_births_age30plus,0.260327401666964,0.24380867598912362,-0.01651872567784038,10000.0,2.7286829801974313,-1.651872567784038
0.5,matched_pf_sequential,housing_increment_0to1,0.7202462623815278,0.4109196900957981,-0.3093265722857297,137.5652749002964,13.162648337886617,-3.6280364300660786
0.5,matched_pf_sequential,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.35007631698095043,-0.017623241829049563,2958.514988007638,0.918851598569249,-0.9585674721005554
0.5,matched_pf_sequential,own_family_gap,0.16766167,0.14645900635819542,-0.021202663641804592,14229.590955975675,6.39695452762578,-2.5292201421833136
0.5,matched_pf_sequential,own_rate,0.575472,0.5876074513765183,0.01213545137651828,1207.8460856134493,0.1778785027295873,0.4217564495411864
0.5,matched_pf_sequential,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.3249387460521564,0.5449682641101887,11.973159013172177,3.555913390994336,1.8857129662263914
0.5,matched_pf_sequential,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.0592403150024365,0.18614031500243655,6.287669427540395,0.2178565339272979,0.46675104062797534
0.5,matched_pf_sequential,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008352079720350935,-0.0004479202796490653,5165289.256198346,1.0363252940128966,-1.0180006355660574
0.5,matched_pf_sequential,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.346353625057636,-0.10175712938788406,56.95977216091135,0.5897907230338242,-0.7679783350028985
