shape,decision_year,birth_year_start,birth_year_end,observed_live_births,observed_birth_index,model_raw_births,model_adjusted_births,model_top_bin_addition,model_start_households,model_shape_index,shape_gap,model_common_anchor_index,common_anchor_gap,model_annualized_births_per_start_household
-0.5,2007,2008,2011,16331335.0,1.0,0.102402774451324,0.11870418529121865,0.016301410839894656,0.9999999999996664,1.0,0.0,1.0143953815307423,0.014395381530742268,0.029676046322814564
-0.5,2011,2012,2015,15851595.0,0.9706245692712813,0.09154126330085406,0.10616039866772671,0.014619135366872649,1.0296091729797923,0.8943273432801203,-0.07629722599116096,0.9072015266000126,-0.06342304267126864,0.025776867925644025
-0.5,2015,2016,2019,15340627.0,0.9393369862292336,0.08549722214168302,0.09869405469450357,0.013196832552820545,1.0678559129606298,0.8314286008734743,-0.1079083853557593,0.8433973327986191,-0.0959396534306145,0.02310565814559999
-0.5,2019,2020,2023,14541714.0,0.8904179603198391,0.08182646258422777,0.09351739542735707,0.011690932843129304,1.1013831580145572,0.7878188557373064,-0.10259910458253274,0.7991598087427576,-0.0912581515770815,0.021227261999343428
0.0,2007,2008,2011,16331335.0,1.0,0.10087061935777146,0.11701964288529365,0.01614902352752219,0.999999999999668,1.0,0.0,1.0,0.0,0.029254910721333124
0.0,2011,2012,2015,15851595.0,0.9706245692712813,0.08956114870849893,0.10389799487704525,0.014336846168546316,1.0296091729797927,0.8878679879316445,-0.08275658133963681,0.8878679879316445,-0.08275658133963681,0.02522753235005521
0.0,2015,2016,2019,15340627.0,0.9393369862292336,0.08393904871502651,0.09682846945907976,0.012889420744053248,1.0678559129606264,0.8274548363986556,-0.11188214983057798,0.8274548363986556,-0.11188214983057798,0.022668898557349184
0.0,2019,2020,2023,14541714.0,0.8904179603198391,0.0810893546257609,0.09252495544200946,0.011435600816248559,1.1013831580145548,0.7906788395577771,-0.09973912076206204,0.7906788395577771,-0.09973912076206204,0.02100199071701865
0.5,2007,2008,2011,16331335.0,1.0,0.09935019518985497,0.11534628628928159,0.015996091099426624,0.9999999999996686,1.0,0.0,0.985700207633924,-0.014299792366076036,0.028836571572329953
0.5,2011,2012,2015,15851595.0,0.9706245692712813,0.08760923148105582,0.10166709566643749,0.014057864185381672,1.029609172979792,0.8814076199337921,-0.08921694933748914,0.8688036739788617,-0.10182089529241956,0.02468584641981256
0.5,2015,2016,2019,15340627.0,0.9393369862292336,0.08240070906694998,0.09499021967092384,0.012589510603973869,1.0678559129606278,0.8235221325868616,-0.11581485364237198,0.8117459370820014,-0.12759104914723218,0.022238538579508284
0.5,2019,2020,2023,14541714.0,0.8904179603198391,0.08035333742660372,0.09153966096060116,0.011186323533997442,1.1013831580145508,0.7936073531749879,-0.09681060714485124,0.7822589328043945,-0.1081590275154446,0.020778341373409625
