window,year_min,year_max,moment,estimate,bootstrap_se,bootstrap_p025,bootstrap_p975,bootstrap_reps,seed,family_years,persons,bootstrap_population_persons
pooled_1984_2019,1984,2019,old_p90_p50,3.44811075444552,0.132477154936326,3.17424597711576,3.71178568561579,499,20260715,4015,1685,3691
pooled_1984_2019,1984,2019,old_p50,6.50131577436537,0.2319582116443,6.09376786577616,6.96415515372721,499,20260715,4015,1685,3691
pooled_1984_2019,1984,2019,old_p90,22.4172568396356,0.84879869351492,20.7376952551501,24.3524766334133,499,20260715,4015,1685,3691
initial_2005_2007,2005,2007,old_p90_p50,3.36913580426896,0.395226870915717,2.77098917889965,4.31272854058345,499,20260715,670,425,945
initial_2005_2007,2005,2007,old_p50,7.99150615881193,0.70255674171473,6.89033683410239,9.51465458617439,499,20260715,670,425,945
initial_2005_2007,2005,2007,old_p90,26.9244695296892,2.90642776205673,23.1002905673232,34.3470191089711,499,20260715,670,425,945
initial_2003_2007,2003,2007,old_p90_p50,3.57111988456851,0.285920049079386,3.08157074386222,4.1917570274884,499,20260715,964,490,1044
initial_2003_2007,2003,2007,old_p50,7.46251050977584,0.535265269435566,6.53379853863864,8.4163529759205,499,20260715,964,490,1044
initial_2003_2007,2003,2007,old_p90,26.6495196702619,1.87955962449622,22.5525372359621,30.9974780787931,499,20260715,964,490,1044
initial_2007,2007,2007,old_p90_p50,3.40632268542094,0.513788171594512,2.80167118623506,4.70515962348079,499,20260715,320,320,796
initial_2007,2007,2007,old_p50,8.04782202419267,0.826638616607844,6.38660838726223,9.59920541216326,499,20260715,320,320,796
initial_2007,2007,2007,old_p90,27.4134787292378,3.73965504015778,22.6332166455219,35.3878289561609,499,20260715,320,320,796
preannouncement_2003_2005,2003,2005,old_p90_p50,3.51593508651872,0.306910785103348,2.98659678925334,4.15627968849236,499,20260715,644,416,918
preannouncement_2003_2005,2003,2005,old_p50,7.28579300191372,0.522531159397481,6.41860598428269,9.0352343708203,499,20260715,644,416,918
preannouncement_2003_2005,2003,2005,old_p90,25.616375248541,2.16310317130634,21.1872934585036,30.7554386853243,499,20260715,644,416,918
preannouncement_2005,2005,2005,old_p90_p50,3.38001609315094,0.46458868865156,2.62527895594817,4.58339459048866,499,20260715,350,350,815
preannouncement_2005,2005,2005,old_p50,7.8767824351199,0.827502057316607,6.92494004663026,9.51465458617439,499,20260715,350,350,815
preannouncement_2005,2005,2005,old_p90,26.6236513929539,3.62262085483216,21.8421048065757,35.7596976557994,499,20260715,350,350,815
