moment,model,source
Initial model completed fertility,2.100000115351263,exact_stationary_key
"Childless women, ages 40–44",0.20207882578092398,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,25.84789227375573,approximate_stationary_analogue
First births at age 30+,0.22015580862454048,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.001803867265769,exact_stationary_key
Annual bequests / aggregate wealth,0.008297686498492668,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.323710607427495,exact_stationary_key
"Mean occupied rooms, capped at 9",5.7442262592025966,approximate_stationary_analogue
"Ownership, heads 30–55",0.44556511078301175,exact_stationary_key
"First-birth room response, −1 to +3",1.1514999402916486,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.22951536443495524,approximate_stationary_analogue
Recent-parent ownership gap,0.45926174485991583,exact_stationary_key
