parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9949223327688629,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.1,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.013033290250527,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,9.73986012574886,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5964272599328353,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.07410863983643674,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.28037411596129885,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.5305991132614984,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.4384177122177578,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.008680590344787964,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.5928665159728308,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.5841859256280428,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
