exercise,year,baseline_tfr,policy_tfr,tfr_gap,birth_flow_effect_percent,household_stock_effect_percent,household_stock_gap,illustrative_extra_households,illustrative_people_equivalent
One shock (slides),2023,1.6986410336237445,1.6954505951815828,-0.003190438442161714,-0.18782299373498734,2.2426505097428162e-12,2.2426505097428162e-14,2.872532253615197e-06,7.510970622343474e-06
Four announced shocks,2023,1.6940187216826863,1.6907297334884144,-0.0032889881942719246,-0.19415300150886772,1.9984014443252818e-12,1.9984014443252818e-14,2.559682206191758e-06,6.692944118919924e-06
One shock (slides),2063,1.7706954640264811,1.7841236126458329,0.01342814861935171,1.031009769055724,0.11358382705464187,0.0009811535922531478,125672.51683904996,328602.95330926415
Four announced shocks,2063,1.765973076343138,1.7788662882776864,0.012893211934548399,1.0010560319797746,0.11122322938774687,0.0009716488149893454,124455.0833096128,325419.66182045656
