age,tenure,income_index,parity,dependent_children,wealth,mass,consumption,saving,excess_expenditure,resources
50.0,0,0,2,2,-0.39534883720930214,3.929287925959776e-12,0.04,-0.15738376085765166,0.036756197770565685,-0.03030038318995104
50.0,0,0,3,2,-0.39534883720930214,2.673343218199715e-12,0.04,-0.15738376085765166,0.036756197770565685,-0.03030038318995104
46.0,0,0,2,2,-0.5348837209302326,1.3445345654121472e-11,0.04,-0.32093023255813957,0.02758678842527104,-0.18133742877134668
46.0,0,0,3,2,-0.5348837209302326,8.443071168013058e-12,0.04,-0.32093023255813957,0.02758678842527104,-0.18133742877134668
50.0,0,0,1,1,-0.39534883720930214,2.9531706427628425e-10,0.04,-0.15813953488372087,0.01656539901698928,-0.03030038318995104
50.0,0,0,2,1,-0.39534883720930214,2.93666960713616e-10,0.04,-0.15813953488372087,0.01656539901698928,-0.03030038318995104
50.0,0,0,3,1,-0.39534883720930214,9.290059011899824e-11,0.04,-0.15813953488372087,0.01656539901698928,-0.03030038318995104
46.0,0,0,1,1,-0.5348837209302326,7.709520294490052e-10,0.04,-0.32093023255813957,0.007949972032803398,-0.18133742877134668
46.0,0,0,2,1,-0.5348837209302326,7.444166951920317e-10,0.04,-0.32093023255813957,0.007949972032803398,-0.18133742877134668
46.0,0,0,3,1,-0.5348837209302326,2.1132142673682823e-10,0.04,-0.32093023255813957,0.007949972032803398,-0.18133742877134668
54.0,0,0,2,2,-0.25581395348837255,1.0957872274992112e-12,0.04,-0.051162790697674515,0.0039060144866666646,0.1207366623914436
