moment,target,no_receipt,conditional_mean,receipt_lottery,certain_minus_control,lottery_minus_control,lottery_minus_certain
initial_normalization,2.1,2.0996640219602427,2.1957381677899583,2.1392035042411095,0.09607414582971563,0.03953948228086679,-0.05653466354884884
cps_childlessness,0.19827875100684264,0.18326641959666193,0.1509896221720436,0.1700110295353208,-0.032276797424618336,-0.013255390061341132,0.019021407363277204
cps_exactly_one,0.21365532522014702,0.23120512034677335,0.22475818645121012,0.228925623027846,-0.006446933895563223,-0.002279497318927348,0.0041674365766358745
nchs_mean_age,25.976263860992496,26.345049730658378,26.302295217387776,26.360897121635595,-0.042754513270601535,0.015847390977217657,0.05860190424781919
nchs_share30,0.2492780130410667,0.24729659567367498,0.24485747642206715,0.24832421690471784,-0.0024391192516078353,0.0010276212310428579,0.003466740482650693
wealth_earnings,6.92658379107299,6.07666903116795,5.9861674056189615,6.275061877097206,-0.09050162554898833,0.19839284592925654,0.2888944714782449
bequest_wealth,0.007291023472616158,0.007072167699927861,0.007284652557227962,0.007243356273444416,0.00021248485730010046,0.00017118857351655463,-4.1296283783545835e-05
old_dispersion,3.51593508651872,2.9854282404103434,2.878542907938065,2.8084794203910417,-0.10688533247227827,-0.17694882001930168,-0.0700634875470234
mean_rooms,5.607885960068579,6.546806237655942,6.718176014829632,6.700514375513056,0.17136977717369017,0.15370813785711412,-0.01766163931657605
ownership_30_55,0.6762604168538028,0.7569375197424495,0.7372700919713513,0.7589281810686292,-0.0196674277710982,0.0019906613261797546,0.021658089097277955
first_birth_rooms,1.465,0.7909946945471917,0.7361639568891478,0.7596642411499692,-0.054830737658043915,-0.03133045339722251,0.023500284260821402
family_rooms,0.38509964969278165,0.2206876411480243,0.20532868045053387,0.21204298963117374,-0.015358960697490431,-0.008644651516850566,0.006714309180639866
recent_parent_ownership,0.12760836356692162,0.08967801979796475,0.036055466870777764,0.07356445550103619,-0.053622552927186984,-0.016113564296928562,0.03750898863025842
