case,moment,target,model,gap,weight,loss_contribution,descriptive_fixed_psi
no_receipt,initial_normalization,2.1,2.0996640219602427,-0.0003359780397573786,,,True
no_receipt,cps_childlessness,0.19827875100684264,0.18326641959666193,-0.015012331410180713,35532.3042455214,8.007918760964674,True
no_receipt,cps_exactly_one,0.21365532522014702,0.23120512034677335,0.017549795126626327,26952.820824310795,8.301342377842916,True
no_receipt,nchs_mean_age,25.976263860992496,26.345049730658378,0.36878586966588145,139.82806784479274,19.017039181189,True
no_receipt,nchs_share30,0.2492780130410667,0.24729659567367498,-0.0019814173673917135,13866.065434728798,0.054438377889904355,True
no_receipt,wealth_earnings,6.92658379107299,6.07666903116795,-0.8499147599050403,7.595098472533724,5.486358109835097,True
no_receipt,bequest_wealth,0.007291023472616158,0.007072167699927861,-0.0002188557726882966,5165289.256198346,0.24740624606917014,True
no_receipt,old_dispersion,3.51593508651872,2.9854282404103434,-0.5305068461083766,10.616361531535473,2.98784239469606,True
no_receipt,mean_rooms,5.607885960068579,6.546806237655942,0.9389202775873633,128.02070205233477,112.85937515601968,True
no_receipt,ownership_30_55,0.6762604168538028,0.7569375197424495,0.08067710288864671,2339.3623724673616,15.226429950530385,True
no_receipt,first_birth_rooms,1.465,0.7909946945471917,-0.6740053054528083,137.5652749002964,62.49358665698703,True
no_receipt,family_rooms,0.38509964969278165,0.2206876411480243,-0.16441200854475735,280.52808370152104,7.583041188519989,True
no_receipt,recent_parent_ownership,0.12760836356692162,0.08967801979796475,-0.037930343768956876,27055.822957508266,38.925509519459276,True
conditional_mean,initial_normalization,2.1,2.1957381677899583,0.09573816778995825,,,True
conditional_mean,cps_childlessness,0.19827875100684264,0.1509896221720436,-0.04728912883479905,35532.3042455214,79.45953130857417,True
conditional_mean,cps_exactly_one,0.21365532522014702,0.22475818645121012,0.011102861231063105,26952.820824310795,3.3225692995260743,True
conditional_mean,nchs_mean_age,25.976263860992496,26.302295217387776,0.3260313563952799,139.82806784479274,14.86322657247204,True
conditional_mean,nchs_share30,0.2492780130410667,0.24485747642206715,-0.004420536618999549,13866.065434728798,0.2709587813722928,True
conditional_mean,wealth_earnings,6.92658379107299,5.9861674056189615,-0.9404163854540286,7.595098472533724,6.71697580557367,True
conditional_mean,bequest_wealth,0.007291023472616158,0.007284652557227962,-6.370915388196133e-06,5165289.256198346,0.00020965166778695387,True
conditional_mean,old_dispersion,3.51593508651872,2.878542907938065,-0.6373921785806549,10.616361531535473,4.313096346355679,True
conditional_mean,mean_rooms,5.607885960068579,6.718176014829632,1.1102900547610535,128.02070205233477,157.8167530606882,True
conditional_mean,ownership_30_55,0.6762604168538028,0.7372700919713513,0.06100967511754851,2339.3623724673616,8.707528906858798,True
conditional_mean,first_birth_rooms,1.465,0.7361639568891478,-0.7288360431108523,137.5652749002964,73.07494609503813,True
conditional_mean,family_rooms,0.38509964969278165,0.20532868045053387,-0.17977096924224778,280.52808370152104,9.06599478560546,True
conditional_mean,recent_parent_ownership,0.12760836356692162,0.036055466870777764,-0.09155289669614386,27055.822957508266,226.78009240702778,True
receipt_lottery,initial_normalization,2.1,2.1392035042411095,0.03920350424110941,,,True
receipt_lottery,cps_childlessness,0.19827875100684264,0.1700110295353208,-0.028267721471521845,35532.3042455214,28.392587902436496,True
receipt_lottery,cps_exactly_one,0.21365532522014702,0.228925623027846,0.01527029780769898,26952.820824310795,6.284912534350966,True
receipt_lottery,nchs_mean_age,25.976263860992496,26.360897121635595,0.3846332606430991,139.82806784479274,20.68654821198361,True
receipt_lottery,nchs_share30,0.2492780130410667,0.24832421690471784,-0.0009537961363488556,13866.065434728798,0.012614335076398479,True
receipt_lottery,wealth_earnings,6.92658379107299,6.275061877097206,-0.6515219139757837,7.595098472533724,3.223973509047453,True
receipt_lottery,bequest_wealth,0.007291023472616158,0.007243356273444416,-4.766719917174197e-05,5165289.256198346,0.011736373330984077,True
receipt_lottery,old_dispersion,3.51593508651872,2.8084794203910417,-0.7074556661276783,10.616361531535473,5.313420147586456,True
receipt_lottery,mean_rooms,5.607885960068579,6.700514375513056,1.0926284154444774,128.02070205233477,152.8358322153344,True
receipt_lottery,ownership_30_55,0.6762604168538028,0.7589281810686292,0.08266776421482647,2339.3623724673616,15.987107101682327,True
receipt_lottery,first_birth_rooms,1.465,0.7596642411499692,-0.7053357588500309,137.5652749002964,68.43852241509589,True
receipt_lottery,family_rooms,0.38509964969278165,0.21204298963117374,-0.17305666006160791,280.52808370152104,8.401425497222512,True
receipt_lottery,recent_parent_ownership,0.12760836356692162,0.07356445550103619,-0.05404390806588544,27055.822957508266,79.02313254206528,True
