method,generation_length_years,native_replacement_ratio_rho,closure_percent,years_to_closure,half_life_years
B: generational closed form,26,0.831000000000000,25,40.403588512,97.349248158
B: generational closed form,26,0.831000000000000,50,97.349248158,97.349248158
B: generational closed form,26,0.831000000000000,75,194.698496315,97.349248158
B: generational closed form,30,0.831000000000000,25,46.619525206,112.326055567
B: generational closed form,30,0.831000000000000,50,112.326055567,112.326055567
B: generational closed form,30,0.831000000000000,75,224.652111133,112.326055567
