method,policy,dlnB_percent,baseline_stationarity_max_drift,new_stationary_population,population_gap_percent,years_to_25pct_closure,years_to_50pct_closure,years_to_75pct_closure
A: exact-J age-structured bound,tax,0.35357,6.939e-18,1.017693208856946,1.769320886,108,232,444
A: exact-J age-structured bound,tax+grant,0.71287,6.939e-18,1.036326301065323,3.632630107,112,236,452
