parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9941690285188544,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,3.999999999999999,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.4001097675521599,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,13.10128522429293,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.6710126278720205,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.06210032228330405,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.28160867402642376,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.1704061994776795,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.3567417366404568,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.268807500780124,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.2095982315382126,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.05920926924191139,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
