arm,persistent_states,transitory_states,joint_income_states,lifetime_explicit_births,first_birth_probability,conditional_first_birth_age
5x3,5,3,15,1.8577204111669925,0.7922647527561715,24.70009336511201
9x3,9,3,27,1.8145270495054324,0.7827373803772777,25.396344565907782
15x3,15,3,45,1.8068821235222545,0.7816077754059347,25.577069211924403
