gap,loss_contribution,model,moment,target,weight
-0.07003791330067766,0.0981061859902648,1.8479620866993223,tfr,1.918,20.0
-0.15037791333519926,0.452270336380974,0.03762208666480075,childless_rate,0.188,20.0
-0.032573263378732675,0.1061017487140287,0.5428991466212674,own_rate,0.57547241,100.0
-0.09719748949371135,0.42513083837460575,0.07046418050628867,own_family_gap,0.16766167,45.0
0.050493296136428834,0.03569402136609538,0.7149279661364288,housing_increment_0to1,0.66443467,14.0
0.272982544219611,0.44711681669167125,4.078270644219611,prime30_55_childless_renter_mean_rooms,3.8052881,6.0
0.06629124839504552,0.10986324034434063,0.6624223683950455,prime30_55_childless_owner_share_rooms_ge6,0.59613112,25.0
0.17901687735114613,0.3845645085186636,0.35824243735114614,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.17922556,12.0
-0.09799085278802888,0.11522648676150177,2.320770877211971,prime30_55_childless_owner_minus_renter_mean_rooms,2.41876173,12.0
0.010685315696453979,0.009134077722630862,0.35185140569645396,own_rate_2534,0.34116609,80.0
0.15728127519046714,0.19789919620431565,0.5249808340004671,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,8.0
-0.013729443410149145,0.0035033728433983037,6.487586330955221,old_total_estate_wealth_to_annual_income_median_7684,6.50131577436537,18.585767349158665
-0.003430511332766173,0.11103713401243982,0.6049026283163649,old_nonhousing_ge_1x_income_share_6575,0.608333139649131,9435.18732291246
-0.028501002131025577,0.1299691395956359,0.7357599678689745,old_age_own_rate,0.76426097,160.0
-0.17350263935978383,0.18061899518886726,5.606467842582184,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.0
