18288966|COMPLETED|0:0|00:08:58
18288969|COMPLETED|0:0|00:08:16
18288967_1|COMPLETED|0:0|00:46:38
18288967_2|COMPLETED|0:0|00:46:51
18288967_3|COMPLETED|0:0|00:38:33
18288967_4|COMPLETED|0:0|00:40:35
18288967_5|COMPLETED|0:0|00:41:31
18288967_6|COMPLETED|0:0|00:38:24
18288967_7|COMPLETED|0:0|00:34:43
18288967_8|COMPLETED|0:0|00:43:06
18288967_9|COMPLETED|0:0|00:44:04
18288967_10|COMPLETED|0:0|00:45:04
18288970_1|COMPLETED|0:0|00:48:36
18288970_2|COMPLETED|0:0|00:46:07
18288970_3|COMPLETED|0:0|00:36:58
18288970_4|COMPLETED|0:0|00:35:08
18288970_5|COMPLETED|0:0|00:44:58
18288970_6|COMPLETED|0:0|00:50:33
18288970_7|COMPLETED|0:0|00:48:50
18288970_8|COMPLETED|0:0|00:49:06
18288970_9|COMPLETED|0:0|00:50:52
18288970_10|COMPLETED|0:0|00:35:21
18288971|COMPLETED|0:0|00:24:20
18288973|COMPLETED|0:0|00:24:23
18288972_1|COMPLETED|0:0|00:50:15
18288972_2|COMPLETED|0:0|00:43:41
18288972_3|COMPLETED|0:0|00:34:14
18288972_4|COMPLETED|0:0|00:38:26
18288972_5|COMPLETED|0:0|00:43:42
18288972_6|COMPLETED|0:0|00:42:00
18288972_7|COMPLETED|0:0|00:56:23
18288972_8|COMPLETED|0:0|00:41:02
18288972_9|COMPLETED|0:0|00:41:38
18288972_10|COMPLETED|0:0|00:38:35
18288974_1|COMPLETED|0:0|00:55:45
18288974_2|COMPLETED|0:0|00:31:08
18288974_3|COMPLETED|0:0|00:36:07
18288974_4|COMPLETED|0:0|00:48:16
18288974_5|COMPLETED|0:0|00:58:52
18288974_6|COMPLETED|0:0|00:55:28
18288974_7|COMPLETED|0:0|00:34:14
18288974_8|COMPLETED|0:0|00:55:44
18288974_9|COMPLETED|0:0|00:48:02
18288974_10|COMPLETED|0:0|00:42:27
18290336|COMPLETED|0:0|00:16:09
18290337|COMPLETED|0:0|00:19:51
18290338|FAILED|1:0|00:51:48
18290340|FAILED|1:0|00:01:22
