wealth_concept,quintile,n,weight,wealth_mean,wealth_median,owner_by_35_rate
liquid_financial_to_income,1,568,11922.1324642697,-0.900833691763056,-0.664278929614563,0.31585841246949
liquid_financial_to_income,2,531,11972.7908821864,-0.150835525956329,-0.140582942031338,0.30231384603227
liquid_financial_to_income,3,298,6295.27965994307,-0.0235335979235771,-0.0226149706571431,0.234476033863732
liquid_financial_to_income,4,1104,17612.499017051,0.0170404598936287,0.00422168157940501,0.257544876513188
liquid_financial_to_income,5,432,11994.1941518882,0.422926016241403,0.255423587967252,0.439972774364758
nonhousing_nw_to_income_sensitivity,1,575,11951.2641943324,-0.715236862676299,-0.470558839786168,0.267484346824938
nonhousing_nw_to_income_sensitivity,2,745,11937.6929802269,-0.0344385680713838,-0.00619488189798846,0.23146928693061
nonhousing_nw_to_income_sensitivity,3,597,11927.8705204661,0.0919188617638981,0.0881490887069593,0.290463037878137
nonhousing_nw_to_income_sensitivity,4,522,11981.8583673093,0.275159638206679,0.263041501677596,0.364836449286511
nonhousing_nw_to_income_sensitivity,5,492,11958.2712410517,1.26131300058641,0.847617067494485,0.397476924550846
