f_c_y,control,K,rows,unsupported
1974,0,-1,52,0
1974,0,0,63,0
1974,0,1,142,0
1974,0,2,146,0
1974,0,3,148,0
1974,0,4,152,0
1974,0,5,154,0
1974,0,6,151,0
1974,0,7,151,0
1974,0,8,149,0
1974,0,9,149,0
1974,0,10,152,0
1974,0,11,146,0
1974,0,12,141,0
1974,0,13,139,0
1974,0,14,137,0
1974,0,15,136,0
1974,0,16,135,0
1974,0,17,135,0
1974,0,18,131,0
1974,0,19,127,0
1974,0,20,143,0
1974,0,21,132,0
1974,0,22,129,0
1974,0,23,87,0
1974,0,25,85,0
1974,0,27,84,0
1974,0,29,80,0
1974,0,31,82,0
1974,0,33,77,0
1974,0,35,74,0
1974,0,37,76,0
1974,0,39,74,0
1974,0,41,68,0
1974,0,43,65,0
1974,0,45,63,0
1975,0,-7,14,0
1975,0,-6,13,0
1975,0,-5,15,0
1975,0,-4,22,0
1975,0,-3,34,0
1975,0,-2,44,0
1975,0,-1,49,0
1975,0,0,121,0
1975,0,1,133,0
1975,0,2,137,0
1975,0,3,141,0
1975,0,4,146,0
1975,0,5,141,0
1975,0,6,144,0
1975,0,7,140,0
1975,0,8,144,0
1975,0,9,144,0
1975,0,10,143,0
1975,0,11,139,0
1975,0,12,134,0
1975,0,13,126,0
1975,0,14,124,0
1975,0,15,122,0
1975,0,16,121,0
1975,0,17,118,0
1975,0,18,123,0
1975,0,19,122,0
1975,0,20,119,0
1975,0,21,115,0
1975,0,22,76,0
1975,0,24,73,0
1975,0,26,76,0
1975,0,28,73,0
1975,0,30,72,0
1975,0,32,74,0
1975,0,34,72,0
1975,0,36,72,0
1975,0,38,71,0
1975,0,40,67,0
1975,0,42,65,0
1975,0,44,61,0
1976,0,-8,16,0
1976,0,-7,14,0
1976,0,-6,21,0
1976,0,-5,21,0
1976,0,-4,27,0
1976,0,-3,39,0
1976,0,-2,50,0
1976,0,-1,107,0
1976,0,0,123,0
1976,0,1,134,0
1976,0,2,134,0
1976,0,3,134,0
1976,0,4,135,0
1976,0,5,137,0
1976,0,6,135,0
1976,0,7,139,0
1976,0,8,134,0
1976,0,9,133,0
1976,0,10,134,0
1976,0,11,134,0
1976,0,12,133,0
1976,0,13,127,0
1976,0,14,126,0
1976,0,15,120,0
1976,0,16,121,0
1976,0,17,120,0
1976,0,18,130,0
1976,0,19,124,0
1976,0,20,117,0
1976,0,21,88,0
1976,0,23,86,0
1976,0,25,85,0
1976,0,27,84,0
1976,0,29,85,0
1976,0,31,86,0
1976,0,33,86,0
1976,0,35,83,0
1976,0,37,80,0
1976,0,39,75,0
1976,0,41,74,0
1976,0,43,68,0
1977,0,-9,9,0
1977,0,-8,8,0
1977,0,-7,10,0
1977,0,-6,16,0
1977,0,-5,25,0
1977,0,-4,28,0
1977,0,-3,38,0
1977,0,-2,81,0
1977,0,-1,100,0
1977,0,0,128,0
1977,0,1,141,0
1977,0,2,156,0
1977,0,3,155,0
1977,0,4,150,0
1977,0,5,151,0
1977,0,6,151,0
1977,0,7,153,0
1977,0,8,156,0
1977,0,9,155,0
1977,0,10,152,0
1977,0,11,150,0
1977,0,12,148,0
1977,0,13,146,0
1977,0,14,143,0
1977,0,15,148,0
1977,0,16,147,0
1977,0,17,150,0
1977,0,18,145,0
1977,0,19,136,0
1977,0,20,99,0
1977,0,22,98,0
1977,0,24,94,0
1977,0,26,96,0
1977,0,28,98,0
1977,0,30,92,0
