persistent_states,transitory_states,joint_states,mean,gates_passed,level_cov_lag0,log_cov_lag0,level_cov_lag1,log_cov_lag1,level_cov_lag2,log_cov_lag2,level_cov_lag4,log_cov_lag4,q0.01,q0.05,q0.5,q0.95,q0.99
5,3,15,1.0000000000000002,True,0.9617580816488569,0.7906798002043995,0.6735909440158142,0.6141221814124809,0.5835992768191027,0.5443583281929212,0.44129158976490307,0.42770570882530023,0.0748472302805755,0.1286711446044157,0.6799262101327117,3.5928774290981735,6.1765766013309555
5,5,25,1.0,True,0.9626110528602245,0.7906798002043991,0.6735909440158141,0.6141221814124804,0.5835992768191024,0.5443583281929203,0.44129158976490246,0.42770570882529935,0.08419980615697989,0.12867016595047656,0.6799210387132306,3.592850102197029,5.490423790560662
7,3,21,1.0000000000000004,True,1.0300245641087213,0.7906798002043994,0.7234199125762327,0.6141221814124805,0.624022354554934,0.5443583281929207,0.46850081557302703,0.42770570882529996,0.08823721058721758,0.17410344797086413,0.677826549007569,2.6389415941745042,5.206973650706814
7,5,35,1.0000000000000002,True,1.0309072175448162,0.7906798002043992,0.7234199125762327,0.6141221814124803,0.6240223545549338,0.5443583281929204,0.46850081557302675,0.42770570882529935,0.08823653946787699,0.174102123765459,0.6778213935578039,2.63892152277004,5.2069340472254755
9,3,27,1.0,True,1.0682642885016758,0.7906798002043995,0.7511047914906346,0.6141221814124808,0.6463212915866657,0.5443583281929208,0.483335098767545,0.42770570882530007,0.11576979528570738,0.19902182103720084,0.6767558404835666,2.3012474975948005,3.956113652082806
9,5,45,1.0,True,1.0691635685464957,0.7906798002043993,0.7511047914906345,0.6141221814124804,0.6463212915866655,0.5443583281929207,0.4833350987675446,0.4277057088252997,0.07575742293937195,0.1364700786309264,0.6767506931774543,3.3559847353409262,6.04550000443774
15,3,45,1.0,True,1.1221859015546505,0.7906798002043991,0.789868892098802,0.6141221814124804,0.6773533177101847,0.5443583281929208,0.5037741195570176,0.4277057088252998,0.10340810351516751,0.16135382731516132,0.6753580762193592,2.826759914556153,4.410761977157944
15,5,75,1.0,True,1.1231086266837733,0.7906798002043993,0.789868892098802,0.6141221814124802,0.6773533177101847,0.5443583281929204,0.5037741195570175,0.4277057088252994,0.07455301870978749,0.17776927469517523,0.6753529395444376,2.5656941770921877,6.117815225253041
25,3,75,0.9999999999999999,True,1.1547592687073838,0.7906798002043989,0.8131315902783146,0.6141221814124803,0.6958696918163298,0.5443583281929208,0.5158573098534398,0.42770570882529985,0.08781341672456752,0.17326724777567176,0.6745710207616173,2.6262670406152933,5.181965114495563
25,5,125,1.0,True,1.1556961567165775,0.7906798002043989,0.8131315902783148,0.6141221814124802,0.6958696918163298,0.5443583281929206,0.5158573098534397,0.42770570882529935,0.08781274882854119,0.15926641527634494,0.6745658900729248,2.857094129106462,5.1819257012255
