estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,original_unrestricted_status,profile_free_parameter,profile_fixed_beta_annual,profile_free_parameter_count,profile_restriction_status,profile_fixed_value,profile_lower,profile_upper
0.98,structural coordinate,0.94,False,beta_annual,author_fixed_profile_restriction,True,discount,0.9995,diagnostic candidate; not a certified estimate,False,0.98,8,author_fixed,0.98,0.98,0.98
0.28487061794262025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
0.32625452567450497,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
1.0509298603075403,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
8.472039529913541,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
0.06311569301604679,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
0.028361803561834556,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
0.15536621592225983,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,diagnostic candidate; not a certified estimate,True,0.98,8,reoptimized,,,
0.0,,,False,hbar_child_rooms,zero restriction,False,,,zero restriction,False,0.98,8,inherited_fixed_or_derived,,,
0.15770827475792054,,,False,psi_child,normalized to 2.1,False,,,normalized to 2.1,False,0.98,8,inherited_fixed_or_derived,,,
0.179,,,False,payroll_tax,externally fixed,False,,,externally fixed,False,0.98,8,inherited_fixed_or_derived,,,
2.0463613896121218,,,False,pension_period,budget derived,False,,,budget derived,False,0.98,8,inherited_fixed_or_derived,,,
0.63,,,False,housing_supply_elasticity,externally fixed,False,,,externally fixed,False,0.98,8,inherited_fixed_or_derived,,,
0.005,,,False,tenure_choice_kappa,externally fixed,False,,,externally fixed,False,0.98,8,inherited_fixed_or_derived,,,
0.733,,,False,alpha_cons,externally fixed,False,,,externally fixed,False,0.98,8,inherited_fixed_or_derived,,,
2.0,,,False,sigma,externally fixed,False,,,externally fixed,False,0.98,8,inherited_fixed_or_derived,,,
