age_start,saved_checkpoint_household_mass,saved_checkpoint_dependent_state_mass_cs1,candidate_fixed_distribution_household_mass,candidate_fixed_distribution_dependent_state_mass_cs1,current_exit_probability_next_four_years,candidate_first_adult_death_probability_next_four_years,candidate_household_exit_probability_next_four_years,candidate_dependent_households_exposed_to_nonterminal_first_adult_death_per_period,candidate_dependent_households_exiting_nonterminal_per_period,current_dependent_households_exiting_nonterminal_per_period,terminal_scope_note,terminal_transition_defined
18,0.061733456180815965,0.0,0.061733456180815965,0.0,0.0,0.005193715567987108,0.002860812333854341,0.0,0.0,0.0,,True
22,0.06173345618081537,0.011924121001022277,0.06155684834796183,0.01189000832859218,0.0,0.005715236827584405,0.001884797497363861,6.795421347985533e-05,2.2410257941366004e-05,0.0,,True
26,0.06173345618079956,0.01825962314556189,0.06144082615423426,0.01817306855528415,0.0,0.006434196467081435,0.0014153995190213672,0.00011692909349443799,2.5722152492291518e-05,0.0,,True
30,0.06173345618077733,0.022104024876433703,0.061353862838425186,0.02196810926111954,0.0,0.007927010049710479,0.0011716636488637716,0.00017414142288603242,2.5739235055521334e-05,0.0,,True
34,0.061733456180762446,0.023393332952855804,0.06128197674760526,0.023222248919098045,0.0,0.00939727888816429,0.0018526194445550993,0.0002182259495031361,4.302198989381968e-05,0.0,,True
38,0.061733456180753,0.023519557577034094,0.06116844456587252,0.023304296290367014,0.0,0.012994331816805966,0.002816276334136355,0.00030282375875418933,6.563133812626227e-05,0.0,,True
42,0.06173345618074236,0.023154449766894358,0.060996177323035194,0.022877917602147375,0.0,0.017793507153647442,0.004450188130587051,0.000407078390514366,0.0001018110373656248,0.0,,True
46,0.061733456180736994,0.022751697642831352,0.060724732858695764,0.02237993540160573,0.0,0.025164791582766105,0.0059583374960101056,0.000563186410017177,0.0001333472082616714,0.0,,True
50,0.06173345618073413,0.02092137631624649,0.0603629144059658,0.02045690175089706,0.0,0.033642132859338314,0.007624403648173067,0.0006882138065941094,0.00015597167633985755,0.0,,True
54,0.061733456180728695,0.018372655761649034,0.05990268318114932,0.01782779460888089,0.0,0.042740160166071364,0.011523237031782626,0.0007619627969913928,0.00020543390303207092,0.0,,True
58,0.06173345618072368,0.015630690129338442,0.05921241036400835,0.014992370352658796,0.0,0.059052724170527406,0.014113594764198123,0.0008853403110979526,0.00021159623971220436,0.0,,True
62,0.061733456180719064,0.01300135766196605,0.05837671039911497,0.012294411134313817,0.0,0.08045439202673592,0.020221198689163528,0.0009891393731379509,0.00024860773031322404,0.0,,True
66,0.06173345618071819,0.010638366643925456,0.0571962633393139,0.009856483950694215,0.060873693628987535,0.10350017244033254,0.031227410922767432,0.0010201477885522215,0.00030779247458199044,0.0006475966717951585,,True
70,0.057975512682513906,0.008076405798746421,0.05541017212076964,0.0077190354120093355,0.08150236567502755,0.14876844641941292,0.041614552080045795,0.0011483489061010618,0.00032122420116078025,0.0006582461787493438,,True
74,0.05325037124766644,0.005942563705458233,0.05310430262728554,0.0059262629349350615,0.11504780721871366,0.1984824470914844,0.08093832575804293,0.0011762591694334734,0.00047966179995558955,0.0006836789235704835,,True
78,0.047124032802040056,0.00418403114678419,0.048806129282084686,0.004333380505188382,0.16995319389846186,0.27495909160664667,0.15738572192264075,0.0011915023672925491,0.0006820122191745711,0.0007110894567666172,,True
82,0.03911515291795742,0.002748752576116759,0.041124741390773996,0.002889973077112248,,,,0.0,0.0,0.0,No four-year mortality transition defined; terminal age-support exit is separate.,False
