age_start,age_interval,scf_unweighted_peus,scf_weighted_peus,couple_share,single_head_q4,couple_last_survivor_exit_q4,reference_adult_q4_all,first_adult_death_q4_mix,household_exit_q4_mix
18,18-22,47,1870512.269136811,0.2827257626987741,0.003982819628301653,1.4283886326343608e-05,0.004504118557981531,0.005193715567987108,0.002860812333854341
22,22-26,161,5957586.844248618,0.49146461420062637,0.003694554427857551,1.2179587021287704e-05,0.004664374805497958,0.005715236827584405,0.001884797497363861
26,26-30,194,7007821.320072749,0.6190765400723048,0.003692710340529411,1.4149332157058668e-05,0.004872156156454211,0.006434196467081435,0.0014153995190213672
30,30-34,228,7835985.102891144,0.7289842224508337,0.0042708052115451554,1.9490207412253105e-05,0.00558561023083318,0.007927010049710479,0.0011716636488637716
34,34-38,277,8564502.320630971,0.6592733699424729,0.005377545072537959,3.08622112380483e-05,0.0066397671339729365,0.00939727888816429,0.0018526194445550993
38,38-42,316,8912711.852539638,0.6376223346620972,0.007665306210277164,6.0444190017936017e-05,0.009179820816771003,0.012994331816805966,0.002816276334136355
42,42-46,381,10133449.281749886,0.6114615830297784,0.01127475811565812,0.00011368083054811783,0.012942428827729398,0.017793507153647442,0.004450188130587051
46,46-50,405,10359835.913089205,0.6184621506437279,0.015246130525100387,0.00022856959688018636,0.01843485606145163,0.025164791582766105,0.0059583374960101056
50,50-54,419,9143493.143371558,0.6411470514139213,0.020559931960293366,0.0003843290567262094,0.02486541582109036,0.033642132859338314,0.007624403648173067
54,54-58,403,9222481.866644213,0.576317127040468,0.02624342525878341,0.0007016054232482905,0.031994565640100635,0.042740160166071364,0.011523237031782626
58,58-62,377,7502084.549240937,0.6292654383227639,0.03596231317099376,0.0012413240999413742,0.04376643346677002,0.059052724170527406,0.014113594764198123
62,62-66,329,6861284.345205548,0.6126331784060218,0.04823267400193236,0.002509594841168703,0.05884309403412166,0.08045439202673592,0.020221198689163528
66,66-70,241,4980100.3726469325,0.5826894415082906,0.06947581172220244,0.0038346689885546906,0.08091804220377798,0.10350017244033254,0.031227410922767432
70,70-74,189,4515334.269889472,0.6160777537063182,0.09576262647690492,0.007871002292936621,0.11637970273265792,0.14876844641941292,0.041614552080045795
74,74-78,135,3650708.603453532,0.4882928206174298,0.14251608212339917,0.016407825427154958,0.16347050596203005,0.1984824470914844,0.08093832575804293
78,78-82,123,3591467.046995886,0.3400497725519626,0.2143147223545353,0.04690099346225904,0.23217219890549576,0.27495909160664667,0.15738572192264075
