,aggregate_mean_occupied_rooms_capped9_18_85,own_rate_30_55,recent_parent_minus_no_resident_child_ownership_30_55,prime30_55_resident_3plus_minus_1to2_rooms_capped9,own_rate_25_34
aggregate_mean_occupied_rooms_capped9_18_85,0.009041650903175451,0.0017090973534918666,0.00016468155738752385,0.0005619047740923245,0.0015395251090598598
own_rate_30_55,0.0017090973534918666,0.0003584419553132041,3.2159956260289494e-05,0.00019280841157905842,0.0003239613450551977
recent_parent_minus_no_resident_child_ownership_30_55,0.00016468155738752385,3.2159956260289494e-05,5.4099782378238555e-05,7.474680773364354e-06,2.1930483818022258e-05
prime30_55_resident_3plus_minus_1to2_rooms_capped9,0.0005619047740923245,0.00019280841157905842,7.474680773364354e-06,0.0019615691887825714,0.00011083289326338043
own_rate_25_34,0.0015395251090598598,0.0003239613450551977,2.1930483818022258e-05,0.00011083289326338043,0.00031073371157861
