year,met2013,active_metro,active_puma,n,weight,rooms_sum,capped_rooms_sum,owner_weight,rooms9_weight,rooms_gt9_weight,own3055_n,own3055_weight,own3055_owner_weight,own3055_rooms_sum,own3055_capped_rooms_sum,own2534_n,own2534_weight,own2534_owner_weight,own2534_rooms_sum,own2534_capped_rooms_sum,newparent_n,newparent_weight,newparent_owner_weight,newparent_rooms_sum,newparent_capped_rooms_sum,nochild_n,nochild_weight,nochild_owner_weight,nochild_rooms_sum,nochild_capped_rooms_sum,rooms_large_n,rooms_large_weight,rooms_large_owner_weight,rooms_large_rooms_sum,rooms_large_capped_rooms_sum,rooms_small_n,rooms_small_weight,rooms_small_owner_weight,rooms_small_rooms_sum,rooms_small_capped_rooms_sum
2005,13820,0,-1,3793,399921.0,2346898.0,2346898.0,284401.0,42202.0,0.0,1732.0,188568.0,135808.0,1164577.0,1164577.0,492.0,57021.0,28961.0,305322.0,305322.0,70.0,6485.0,5196.0,41983.0,41983.0,689.0,74986.0,51737.0,421976.0,421976.0,219.0,25683.0,18177.0,176552.0,176552.0,702.0,76573.0,58058.0,488648.0,488648.0
2005,0,0,-1,308235,25355049.0,143437215.0,143437215.0,18250394.0,1953641.0,0.0,128291.0,10895189.0,7941632.0,65277926.0,65277926.0,30866.0,3252244.0,1694698.0,17629512.0,17629512.0,4056.0,363871.0,274384.0,2218544.0,2218544.0,54178.0,4622465.0,3142871.0,25225981.0,25225981.0,18350.0,1584333.0,1162286.0,10505832.0,10505832.0,52244.0,4532597.0,3462496.0,27738500.0,27738500.0
2005,33660,0,-1,1389,148844.0,854470.0,854470.0,100305.0,9211.0,0.0,642.0,73993.0,50433.0,439814.0,439814.0,177.0,22127.0,9252.0,114009.0,114009.0,23.0,2456.0,2039.0,15501.0,15501.0,264.0,30799.0,20389.0,170711.0,170711.0,71.0,7209.0,3662.0,42649.0,42649.0,243.0,28578.0,20194.0,174672.0,174672.0
2005,26620,0,-1,1430,145409.0,855721.0,855721.0,101945.0,16909.0,0.0,711.0,74283.0,53261.0,460523.0,460523.0,196.0,22678.0,10202.0,117788.0,117788.0,31.0,2852.0,2083.0,19552.0,19552.0,285.0,31587.0,19701.0,170106.0,170106.0,92.0,8693.0,7406.0,66438.0,66438.0,289.0,28364.0,22131.0,187289.0,187289.0
2005,33860,0,-1,1296,129410.0,756202.0,756202.0,87416.0,11978.0,0.0,571.0,58624.0,40325.0,358958.0,358958.0,166.0,19362.0,8449.0,105710.0,105710.0,15.0,1356.0,1013.0,9238.0,9238.0,236.0,22859.0,14106.0,129075.0,129075.0,82.0,9056.0,6482.0,57036.0,57036.0,215.0,23024.0,17512.0,144207.0,144207.0
2005,19300,0,-1,537,65025.0,376977.0,376977.0,49787.0,3980.0,0.0,216.0,27227.0,20155.0,162402.0,162402.0,48.0,7841.0,4621.0,42719.0,42719.0,8.0,1496.0,1114.0,9775.0,9775.0,98.0,10735.0,7975.0,58349.0,58349.0,17.0,2024.0,1442.0,14442.0,14442.0,94.0,14785.0,9563.0,88656.0,88656.0
2005,23460,0,-1,452,41036.0,242642.0,242642.0,30467.0,3157.0,0.0,195.0,18151.0,13036.0,109584.0,109584.0,52.0,5760.0,3238.0,30940.0,30940.0,6.0,495.0,495.0,3485.0,3485.0,67.0,5651.0,3934.0,30023.0,30023.0,33.0,3642.0,2131.0,22610.0,22610.0,76.0,7142.0,5650.0,44528.0,44528.0
2005,11500,0,-1,439,45953.0,257824.0,257824.0,32305.0,3045.0,0.0,177.0,19235.0,14149.0,113826.0,113826.0,36.0,4427.0,2559.0,24544.0,24544.0,3.0,235.0,183.0,1064.0,1064.0,90.0,9951.0,7519.0,54321.0,54321.0,15.0,1413.0,1125.0,10218.0,10218.0,63.0,7387.0,5248.0,44060.0,44060.0
2005,12220,0,-1,749,49701.0,259490.0,259490.0,29370.0,2692.0,0.0,284.0,17285.0,12046.0,102570.0,102570.0,93.0,7180.0,3245.0,34488.0,34488.0,13.0,678.0,430.0,3576.0,3576.0,122.0,7108.0,4147.0,38913.0,38913.0,23.0,1624.0,1317.0,10176.0,10176.0,141.0,9898.0,7548.0,60281.0,60281.0
2005,19460,0,-1,586,56053.0,317267.0,317267.0,42872.0,3471.0,0.0,241.0,24587.0,19766.0,147893.0,147893.0,54.0,6447.0,3700.0,33163.0,33163.0,6.0,701.0,701.0,4963.0,4963.0,111.0,9733.0,7872.0,54562.0,54562.0,24.0,2623.0,2144.0,18042.0,18042.0,93.0,10622.0,7884.0,61614.0,61614.0
2005,22520,0,-1,593,57150.0,326257.0,326257.0,42335.0,4319.0,0.0,239.0,26644.0,21284.0,158147.0,158147.0,58.0,7901.0,4349.0,42496.0,42496.0,4.0,409.0,409.0,2637.0,2637.0,103.0,11605.0,8857.0,64197.0,64197.0,24.0,3328.0,2701.0,21377.0,21377.0,95.0,9824.0,7845.0,57240.0,57240.0
2005,11260,0,-1,1214,143268.0,765870.0,765870.0,92923.0,12669.0,0.0,701.0,84837.0,57005.0,473390.0,473390.0,173.0,21300.0,10780.0,100677.0,100677.0,31.0,4045.0,1356.0,19354.0,19354.0,315.0,38245.0,24138.0,189215.0,189215.0,92.0,10768.0,8384.0,72020.0,72020.0,260.0,31569.0,21689.0,184517.0,184517.0
2005,38060,1,-1,14690,1410610.0,7663828.0,7663828.0,961619.0,84105.0,0.0,7192.0,704794.0,493356.0,4054432.0,4054432.0,2441.0,273689.0,132821.0,1368246.0,1368246.0,321.0,30152.0,21192.0,180190.0,180190.0,3028.0,302184.0,192674.0,1546980.0,1546980.0,1122.0,114082.0,82681.0,724464.0,724464.0,2574.0,249261.0,184575.0,1526552.0,1526552.0
2005,46060,0,-1,4041,355920.0,1813336.0,1813336.0,232925.0,14608.0,0.0,1735.0,155019.0,101707.0,834580.0,834580.0,495.0,56217.0,21912.0,255513.0,255513.0,71.0,6730.0,4489.0,35817.0,35817.0,788.0,67985.0,41199.0,327473.0,327473.0,218.0,21836.0,13905.0,122173.0,122173.0,660.0,60444.0,42730.0,349734.0,349734.0
2005,29420,0,-1,826,79316.0,396801.0,396801.0,57587.0,1237.0,0.0,250.0,25399.0,16096.0,133227.0,133227.0,54.0,8944.0,4446.0,45791.0,45791.0,4.0,662.0,186.0,3504.0,3504.0,112.0,10049.0,7478.0,49434.0,49434.0,44.0,4532.0,1921.0,25750.0,25750.0,100.0,11427.0,7592.0,60569.0,60569.0
2005,39140,0,-1,786,77398.0,413148.0,413148.0,55592.0,2780.0,0.0,268.0,28034.0,18325.0,156067.0,156067.0,45.0,6687.0,2420.0,32524.0,32524.0,4.0,421.0,232.0,1804.0,1804.0,142.0,14327.0,8660.0,71406.0,71406.0,33.0,5191.0,3385.0,33245.0,33245.0,97.0,9388.0,6873.0,53635.0,53635.0
2005,22380,0,-1,484,42872.0,214616.0,214616.0,25970.0,1147.0,0.0,227.0,18222.0,11398.0,96068.0,96068.0,66.0,7178.0,2366.0,33124.0,33124.0,7.0,668.0,530.0,4044.0,4044.0,112.0,8358.0,4414.0,39778.0,39778.0,31.0,3304.0,1633.0,18157.0,18157.0,90.0,7210.0,5805.0,41036.0,41036.0
2005,49740,0,-1,640,66413.0,309773.0,309773.0,45898.0,1070.0,0.0,206.0,23853.0,14869.0,125549.0,125549.0,68.0,8744.0,3721.0,42494.0,42494.0,5.0,501.0,501.0,3172.0,3172.0,68.0,8092.0,3978.0,39462.0,39462.0,54.0,6376.0,5306.0,35980.0,35980.0,89.0,11165.0,6495.0,55851.0,55851.0
2005,32820,0,-1,4608,470102.0,2660398.0,2660398.0,301804.0,40401.0,0.0,2395.0,260597.0,165571.0,1508097.0,1508097.0,683.0,83052.0,33315.0,422300.0,422300.0,91.0,9003.0,7085.0,55873.0,55873.0,1027.0,114932.0,66639.0,603173.0,603173.0,277.0,33337.0,19016.0,213322.0,213322.0,854.0,86787.0,59755.0,533195.0,533195.0
2005,30780,0,-1,2253,240885.0,1321693.0,1321693.0,158000.0,12399.0,0.0,1039.0,111754.0,75913.0,643133.0,643133.0,320.0,40731.0,17162.0,204475.0,204475.0,40.0,3934.0,3699.0,25654.0,25654.0,444.0,47998.0,29410.0,251932.0,251932.0,127.0,15282.0,8793.0,94094.0,94094.0,429.0,43679.0,33837.0,268326.0,268326.0
2005,22220,0,-1,1299,139247.0,757892.0,757892.0,89016.0,8402.0,0.0,594.0,67098.0,42683.0,379282.0,379282.0,226.0,25409.0,11909.0,121958.0,121958.0,30.0,3380.0,2423.0,19529.0,19529.0,239.0,28648.0,16259.0,145118.0,145118.0,100.0,11446.0,7173.0,70274.0,70274.0,245.0,25424.0,18312.0,152149.0,152149.0
2005,31080,1,-1,40428,4083967.0,19789617.0,19789617.0,2111096.0,165375.0,0.0,22451.0,2343954.0,1168951.0,11423030.0,11423030.0,6060.0,715471.0,189797.0,2904796.0,2904796.0,1111.0,109159.0,63985.0,556613.0,556613.0,8717.0,932450.0,395844.0,4009037.0,4009037.0,3634.0,392762.0,201493.0,2065554.0,2065554.0,8158.0,825470.0,460226.0,4321082.0,4321082.0
