,aggregate_mean_occupied_rooms_capped9_18_85,own_rate_30_55,recent_parent_minus_no_resident_child_ownership_30_55,prime30_55_resident_3plus_minus_1to2_rooms_capped9,own_rate_25_34
aggregate_mean_occupied_rooms_capped9_18_85,0.007889488763996257,0.001701993359459861,5.9368448116299016e-05,0.0010855004680234322,0.001703560785605002
own_rate_30_55,0.001701993359459861,0.0004318989202121758,-3.2050965138152323e-06,0.00014626440230950142,0.000430475687034131
recent_parent_minus_no_resident_child_ownership_30_55,5.9368448116299016e-05,-3.2050965138152323e-06,3.134214049277324e-05,0.00015851890426566846,-7.328279413556537e-07
prime30_55_resident_3plus_minus_1to2_rooms_capped9,0.0010855004680234322,0.00014626440230950142,0.00015851890426566846,0.003339669224302998,0.0002337437418909939
own_rate_25_34,0.001703560785605002,0.000430475687034131,-7.328279413556537e-07,0.0002337437418909939,0.00044457084576107514
