parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9972770657893492,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.9999999999999996,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.05000000000000001,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.064653588168213,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,7.512506746696983,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.6435344398382394,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.1574650517349977,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2767312697634719,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.06969143360478,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.5111175519483377,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.006675731598558277,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.5461524313732091,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.5394766997746508,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
