f_c_y,K,lastcohort,rows
1972,-2,0,16
1972,-1,0,17
1972,0,0,20
1972,1,0,20
1972,2,0,21
1972,5,0,20
1972,6,0,20
1972,7,0,19
1972,8,0,20
1972,9,0,20
1972,13,0,18
1972,14,0,18
1972,15,0,17
1972,16,0,16
1972,17,0,15
1972,18,0,15
1972,19,0,13
1972,20,0,11
1972,21,0,12
1972,22,0,15
1972,23,0,14
1972,24,0,7
1972,25,0,9
1972,27,0,7
1972,29,0,9
1972,31,0,9
1972,33,0,9
1972,35,0,8
1972,37,0,7
1972,39,0,7
1972,41,0,7
1972,43,0,7
1972,45,0,6
1972,47,0,6
1973,-3,0,13
1973,-2,0,16
1973,-1,0,18
1973,0,0,27
1973,1,0,26
1973,4,0,26
1973,5,0,26
1973,6,0,26
1973,7,0,24
1973,8,0,22
1973,12,0,25
1973,13,0,24
1973,14,0,24
1973,15,0,23
1973,16,0,23
1973,17,0,23
1973,18,0,19
1973,19,0,18
1973,20,0,17
1973,21,0,19
1973,22,0,18
1973,23,0,12
1973,24,0,12
1973,26,0,11
1973,28,0,13
1973,30,0,13
1973,32,0,11
1973,34,0,11
1973,36,0,9
1973,38,0,7
1973,40,0,8
1973,42,0,6
1973,44,0,6
1973,46,0,6
1974,-4,0,5
1974,-3,0,7
1974,-2,0,9
1974,-1,0,12
1974,0,0,14
1974,3,0,15
1974,4,0,15
1974,5,0,15
1974,6,0,13
1974,7,0,13
1974,11,0,12
1974,12,0,12
1974,13,0,12
1974,14,0,12
1974,15,0,12
1974,16,0,11
1974,17,0,11
1974,18,0,11
1974,19,0,11
1974,20,0,13
1974,21,0,11
1974,22,0,10
1974,23,0,10
1974,25,0,9
1974,27,0,10
1974,29,0,9
1974,31,0,9
1974,33,0,9
1974,35,0,8
1974,37,0,8
1974,39,0,9
1974,41,0,9
1974,43,0,9
1974,45,0,8
1975,-5,0,5
1975,-4,0,6
1975,-3,0,7
1975,-2,0,11
1975,-1,0,19
1975,2,0,17
1975,3,0,17
1975,4,0,17
1975,5,0,16
1975,6,0,18
1975,10,0,18
1975,11,0,17
1975,12,0,17
1975,13,0,17
1975,14,0,17
1975,15,0,17
1975,16,0,17
1975,17,0,16
1975,18,0,16
1975,19,0,16
1975,20,0,15
1975,21,0,9
1975,22,0,8
1975,24,0,9
1975,26,0,6
1975,28,0,6
1975,30,0,6
1975,32,0,6
1975,34,0,6
1975,36,0,6
1975,38,0,6
1975,40,0,6
1975,42,0,6
1975,44,0,5
1976,-6,0,4
1976,-5,0,4
1976,-4,0,3
1976,-3,0,6
1976,-2,0,10
1976,1,0,9
1976,2,0,9
1976,3,0,8
1976,4,0,7
1976,5,0,9
1976,9,0,9
1976,10,0,9
1976,11,0,9
1976,12,0,7
1976,13,0,7
1976,14,0,7
1976,15,0,7
1976,16,0,7
1976,17,0,7
1976,18,0,8
1976,19,0,6
1976,20,0,5
1976,21,0,6
1976,23,0,6
1976,25,0,6
1976,27,0,5
1976,29,0,5
1976,31,0,5
1976,33,0,5
1976,35,0,6
1976,37,0,4
1976,39,0,5
1976,41,0,6
1976,43,0,6
1977,-7,0,4
1977,-6,0,4
1977,-5,0,5
1977,-4,0,5
1977,-3,0,6
1977,0,0,53
1977,1,0,51
1977,2,0,48
1977,3,0,53
1977,4,0,52
1977,8,0,47
1977,9,0,50
1977,10,0,50
1977,11,0,49
1977,12,0,49
1977,13,0,49
1977,14,0,48
1977,15,0,45
1977,16,0,45
1977,17,0,43
1977,18,0,39
1977,19,0,32
1977,20,0,33
1977,22,0,32
1977,24,0,31
1977,26,0,32
1977,28,0,28
1977,30,0,26
1977,32,0,29
1977,34,0,28
1977,36,0,25
1977,38,0,25
1977,40,0,27
1977,42,0,23
1979,-9,0,4
1979,-8,0,3
1979,-7,0,5
1979,-6,0,8
1979,-5,0,11
1979,-2,0,44
1979,-1,0,50
1979,0,0,67
1979,1,0,65
1979,2,0,65
1979,6,0,63
1979,7,0,58
1979,8,0,57
1979,9,0,59
1979,10,0,58
1979,11,0,58
1979,12,0,56
1979,13,0,56
1979,14,0,54
1979,15,0,57
1979,16,0,56
1979,17,0,46
1979,18,0,45
1979,20,0,45
1979,22,0,39
1979,24,0,37
1979,26,0,37
1979,28,0,37
1979,30,0,37
1979,32,0,32
1979,34,0,31
1979,36,0,29
1979,38,0,28
1979,40,0,26
1980,-7,0,2
1980,-6,0,5
1980,-3,0,35
1980,-2,0,42
1980,-1,0,59
1980,0,0,68
1980,1,0,71
1980,5,0,65
1980,6,0,61
1980,7,0,63
1980,8,0,63
1980,9,0,58
1980,10,0,62
1980,11,0,62
1980,12,0,63
1980,13,0,61
1980,14,0,61
1980,15,0,60
1980,16,0,39
1980,17,0,35
1980,19,0,35
1980,21,0,34
1980,23,0,34
1980,25,0,33
1980,27,0,33
1980,29,0,28
1980,31,0,27
1980,33,0,28
1980,35,0,29
1980,37,0,24
1980,39,0,21
1981,-10,0,1
1981,-9,0,1
1981,-8,0,5
1981,-7,0,7
1981,-4,0,23
1981,-3,0,27
1981,-2,0,36
1981,-1,0,47
1981,0,0,55
1981,4,0,48
1981,5,0,49
1981,6,0,53
1981,7,0,48
1981,8,0,47
1981,9,0,48
1981,10,0,45
1981,11,0,47
1981,12,0,48
1981,13,0,50
1981,14,0,48
1981,15,0,40
1981,16,0,37
1981,18,0,39
1981,20,0,37
1981,22,0,37
1981,24,0,37
1981,26,0,32
1981,28,0,35
1981,30,0,35
1981,32,0,34
1981,34,0,34
1981,36,0,29
1981,38,0,31
1982,-12,0,2
1982,-11,0,3
1982,-10,0,3
1982,-9,0,5
1982,-8,0,5
1982,-5,0,21
1982,-4,0,26
1982,-3,0,28
1982,-2,0,41
1982,-1,0,51
1982,3,0,53
1982,4,0,52
1982,5,0,52
1982,6,0,51
1982,7,0,50
1982,8,0,53
1982,9,0,50
1982,10,0,51
1982,11,0,48
1982,12,0,51
1982,13,0,50
1982,14,0,39
1982,15,0,36
1982,17,0,37
1982,19,0,39
1982,21,0,37
1982,23,0,36
