measurement,own_rate_2534,interpretation
production_whole_nodes,0.36109174273558114,unchanged model age_to_index aggregation
cells_start_at_node,0.31384023854868837,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.36175798338611737,diagnostic uniform density within each four-year cell
