outcome,units,baseline_raw,policy_raw,baseline_display,policy_display,effect,effect_units
Households,index,0.3494542724972165,0.35576213708598275,100,101.80506151597173,1.8050615159717287,percent
Total housing services,index,3.204797911511308,3.2280734542842833,100,100.72627177799174,0.7262717779917383,percent
Housing services per household,index,9.170864870558521,9.073684683606741,100,98.94033781629734,-1.0596621837026587,percent
House price,index,0.22108375039468428,0.22363786132616706,100,101.15526850206003,1.155268502060025,percent
Rent per unit of housing,index,0.03663611312930153,0.04600487305771012,100,125.57247242725502,25.572472427255022,percent
Homeownership (percent),percent,82.68190090800567,82.0553558013433,82.68190090800567,82.0553558013433,-0.6265451066623768,percentage points
