measurement,own_rate_2534,interpretation
production_whole_nodes,0.36649660672847345,unchanged model age_to_index aggregation
cells_start_at_node,0.3189930668338399,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.3672254461516531,diagnostic uniform density within each four-year cell
