moment,target,weight,sequential_model,nested_model,sequential_gap,nested_gap,sequential_loss,nested_loss
tfr,1.918,1425.7389910084596,1.9229091703379522,1.9287127937956114,0.00490917033795224,0.01071279379561152,0.03436024325389,0.16362343957070782
childless_rate,0.188,17180.743822072007,0.18940863149155035,0.18905041275832754,0.0014086314915503495,0.0010504127583275402,0.03409076514850373,0.01895666513058842
mean_age_first_birth,26.0446272574833,44.44444444444444,26.25603362500902,26.221747635210622,0.21140636752572206,0.17712037772732359,1.9863400991298075,1.3942945869453236
share_first_births_age30plus,0.260327401666964,10000.0,0.2375792340725923,0.23562918172413713,-0.022748167594371704,-0.024698219942826866,5.1747912890162295,6.100020683442508
housing_increment_0to1,0.7202462623815278,137.5652749002964,0.43970795362431847,0.44385861250422387,-0.2805383087572093,-0.2763876498773039,10.826626866955468,10.50862964646164
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638,0.4045665292248328,0.3834787038471905,0.036866970414832834,0.015779145037190523,4.021135193443312,0.7366152571981344
own_family_gap,0.16766167,14229.590955975675,0.1621159966215211,0.16106146463130738,-0.005545673378478916,-0.00660020536869263,0.43762385858988045,0.6198795571673369
own_rate,0.575472,1207.8460856134493,0.544990678523462,0.5730053824608564,-0.030481321476538037,-0.0024666175391435674,1.1222230348756341,0.007348779671736615
aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177,6.3185103935415405,6.2160315512696105,0.5385399115995728,0.43606106932764277,3.4725182730785447,2.2766872805174745
aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395,6.937415636164964,7.004221371392862,0.06431563616496394,0.13112137139286162,0.02600895122242365,0.10810273118719718
annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346,0.008428270937390805,0.008546562689889627,-0.00037172906260919507,-0.0002534373101103736,0.7137525619230932,0.3317689574172606
old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135,3.236149822170024,3.284430199382431,-0.21196093227549628,-0.1636805550630891,2.5590565645338565,1.5260277169532752
