moment,parameter,derivative,method
tfr,beta_annual,-2.2448009082478673,two_sided_or_boundary_pair
childless_rate,beta_annual,-1.352600791594752,two_sided_or_boundary_pair
mean_age_first_birth,beta_annual,-3.003575173124237,two_sided_or_boundary_pair
share_first_births_age30plus,beta_annual,-3.15227356945608,two_sided_or_boundary_pair
housing_increment_0to1,beta_annual,2.2092718730431002,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,beta_annual,5.691620512411793,two_sided_or_boundary_pair
own_family_gap,beta_annual,13.842634519183433,two_sided_or_boundary_pair
own_rate,beta_annual,4.908425754124879,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,beta_annual,0.392699973556284,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,beta_annual,10.56606152556482,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,beta_annual,-1.8628220201167616,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,beta_annual,-36.093527116984255,two_sided_or_boundary_pair
tfr,kappa_fert,11.63605038945285,two_sided_or_boundary_pair
childless_rate,kappa_fert,-47.933092026683475,two_sided_or_boundary_pair
mean_age_first_birth,kappa_fert,153.5462751265806,two_sided_or_boundary_pair
share_first_births_age30plus,kappa_fert,142.81672225212233,two_sided_or_boundary_pair
housing_increment_0to1,kappa_fert,2.7318197944219107,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,kappa_fert,31.922484035951985,two_sided_or_boundary_pair
own_family_gap,kappa_fert,-110.48123506515202,two_sided_or_boundary_pair
own_rate,kappa_fert,-0.11604732228238904,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,kappa_fert,0.5912888754841765,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,kappa_fert,1.4903375614248133,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,kappa_fert,-1.1665721099440889,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,kappa_fert,-0.4979170786290616,two_sided_or_boundary_pair
tfr,kappa_fert_continuation,32.53632846915107,two_sided_or_boundary_pair
childless_rate,kappa_fert_continuation,-91.57401116351204,two_sided_or_boundary_pair
mean_age_first_birth,kappa_fert_continuation,-102.56146043491991,two_sided_or_boundary_pair
share_first_births_age30plus,kappa_fert_continuation,-86.2215484198521,two_sided_or_boundary_pair
housing_increment_0to1,kappa_fert_continuation,1.6119178666413336,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,kappa_fert_continuation,-43.81207506606817,two_sided_or_boundary_pair
own_family_gap,kappa_fert_continuation,-6.881733919180046,two_sided_or_boundary_pair
own_rate,kappa_fert_continuation,-0.8571073728408751,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,kappa_fert_continuation,0.1018166451192592,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,kappa_fert_continuation,-0.7411686093155503,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,kappa_fert_continuation,0.9650663078397886,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,kappa_fert_continuation,-0.4886843805807499,two_sided_or_boundary_pair
tfr,chi,0.24653298748609745,two_sided_or_boundary_pair
childless_rate,chi,0.16941756190185592,two_sided_or_boundary_pair
mean_age_first_birth,chi,0.5529136942594388,two_sided_or_boundary_pair
share_first_births_age30plus,chi,0.36154799779587127,two_sided_or_boundary_pair
