moment,target,model,gap,weight,loss_contribution,descriptive_fixed_psi
initial_normalization,2.1,2.100454012873796,0.0004540128737957616,,,True
cps_childlessness,0.19827875100684264,0.16908877785586945,-0.029189973150973186,35532.3042455214,30.275460884503275,True
cps_exactly_one,0.21365532522014702,0.24628758412719876,0.03263225890705174,26952.820824310795,28.701097256271744,True
nchs_mean_age,25.976263860992496,26.657849922214723,0.6815860612222266,139.82806784479274,64.95846551316441,True
nchs_share30,0.2492780130410667,0.2656150544636778,0.01633704142261108,13866.065434728798,3.70083792306864,True
wealth_earnings,6.14586139445743,5.241228710183834,-0.9046326842735963,7.595098472533724,6.215527014810313,True
bequest_wealth,0.0088,0.006828978891413569,-0.0019710211085864314,5165289.256198346,20.066757285605807,True
old_dispersion,3.51593508651872,4.099377682336716,0.5834425958179956,10.616361531535473,3.613865335156428,True
mean_rooms,5.561097376118652,6.4766590755736555,0.9155616994550035,128.02070205233477,107.31376642728786,True
ownership_30_55,0.6483340343191493,0.3949339104018528,-0.2534001239172965,2339.3623724673616,150.21425425643136,True
first_birth_rooms,0.7202462623815278,0.9872510006285884,0.2670047382470606,137.5652749002964,9.807238956406247,True
family_rooms,0.3470669317962507,0.28295150031248184,-0.06411543148376886,280.52808370152104,1.153191635653912,True
recent_parent_ownership,0.16289550916123285,0.1250110668255065,-0.037884442335726354,27055.822957508266,38.83135505691598,True
