measurement,own_rate_2534,interpretation
production_whole_nodes,0.4924063580450685,unchanged model age_to_index aggregation
cells_start_at_node,0.4870816619435886,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.4926600407656042,diagnostic uniform density within each four-year cell
