parameter,estimate,lower,upper,transform,near_bound,status,interpretation
beta_annual,0.9954545034260822,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert,1.8057434146313212,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert_continuation,1.625421448176251,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
chi,1.074969104208872,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
H0,7.477843237949768,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
theta0,0.44418894112730545,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
theta1,0.1195512417595977,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate
first_birth_fixed_cost,4.474507779104549,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
h_P,0.9204536312929574,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement
hbar_child_rooms,0.0,,,,False,zero restriction,
psi_child,0.293490258663045,,,,False,normalized to 2.1,
payroll_tax,0.179,,,,False,externally fixed,
pension_period,2.0463613896121218,,,,False,budget derived,
housing_supply_elasticity,0.63,,,,False,externally fixed,
tenure_choice_kappa,0.005,,,,False,externally fixed,
alpha_cons,0.733,,,,False,externally fixed,
sigma,2.0,,,,False,externally fixed,
