year,target,model,gap,psi,fit_accepted
2007,1.974875,1.9748555482499361,-1.9451750063792517e-05,0.14708715651861665,True
2011,1.861,1.8610692789655279,6.927896552788582e-05,0.13608715651861664,True
2015,1.755375,1.7555364577860617,0.00016145778606180272,0.12555593170200227,True
2019,1.64575,1.6333131251180577,-0.01243687488194234,0.11155593170200227,False
