age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.061733456180747215,0.04095665736599975,3.9126139661902455,-0.06555738555822355,0.813013586832921,0.06173345618074804
22.0,0.06173345618073691,0.15920936706872293,4.7073703748810845,-0.009783085436284368,0.633722806452957,0.061733456180748034
26.0,0.06173345618072893,0.2477070606079165,5.38031269631645,-0.0073630592208725676,0.4827476125852109,0.06173345618074802
30.0,0.06173345618073923,0.33497425094886296,5.932405497247947,0.4445477141288432,0.37374839586280906,0.06173345618074801
34.0,0.061733456180740824,0.40420213718105497,6.346107370266647,0.8158130062802125,0.3036992363835561,0.061733456180748034
38.0,0.06173345618074419,0.4740524874242366,6.682203718390195,1.5099453359483355,0.26007113068539933,0.06173345618074801
42.0,0.06173345618074803,0.5360073438566656,6.930284101568296,2.0876309320128175,0.2310911489589656,0.06173345618074802
46.0,0.06173345618074803,0.5807424575243612,7.0371497347339895,2.610052999554996,0.23109114895896563,0.061733456180748034
50.0,0.06173345618074802,0.6188120451866539,7.125322018728329,3.0238680057399834,0.23109114895896557,0.06173345618074803
54.0,0.06173345618074805,0.6547131631669619,7.2038900830257795,3.3564060415872867,0.23109114895896557,0.061733456180748054
58.0,0.06173345618074805,0.6896734954247534,7.272451238850061,3.6112897806597384,0.23109114895896565,0.06173345618074807
62.0,0.06173345618074806,0.7230070157303374,7.336566583379663,3.6406477643895707,0.23109114895896563,0.061733456180748054
66.0,0.061733456180748054,0.7512607257637647,7.56068456724685,3.633711409973312,0.23109114895896557,0.061733456180748054
70.0,0.057975512682542654,0.7646555392903608,7.574569205477068,2.303501702480386,0.23109114895896563,0.05797551268254263
74.0,0.05325037124769285,0.7877912863189801,7.541505576196506,0.8702720111523128,0.23109114895896563,0.05325037124769285
78.0,0.04712403280206335,0.8594216671489638,7.463848817332583,-0.7411457628848719,0.23109114895896563,0.04712403280206334
82.0,0.039115152917976785,0.9179643549793866,7.352610013068688,-2.32439255718673,0.2310911489589657,0.03911515291797679
