arm,age_index,age_years,surviving_mass,explicit_birth_flow,exact_first_birth_flow,childless_share,mean_rooms,ownership
candidate_phi08,0,18.0,1.0000000000000002,0.18698641316708675,0.18698641316708675,0.8130135868329132,3.912613966190252,0.040956657366011874
candidate_phi08,1,22.0,0.9999999999999902,0.23813951221756463,0.17929078038005664,0.633722806452863,4.70737037488128,0.15920936706885103
candidate_phi08,2,26.0,0.9999999999999917,0.27220533745689535,0.15097519386775904,0.48274761258510535,5.380312696316571,0.24770706060809816
candidate_phi08,3,30.0,0.9999999999999962,0.2846813375821957,0.1089992167223317,0.3737483958627746,5.932405497247998,0.33497425094895544
candidate_phi08,4,34.0,0.9999999999999986,0.276205974296548,0.07004915947922918,0.3036992363835461,6.346107370266574,0.40420213718112397
candidate_phi08,5,38.0,1.0000000000000007,0.24103134524233336,0.04362810569811676,0.2600711306854292,6.682203718390235,0.4740524874242688
candidate_phi08,6,42.0,1.0000000000000004,0.16718434846214328,0.02897998172646385,0.23109114895896546,6.9302841015682946,0.5360073438566658
candidate_phi08,7,46.0,1.0000000000000002,0.0,0.0,0.23109114895896563,7.03714973473399,0.5807424575243615
candidate_phi08,8,50.0,1.000000000000001,0.0,0.0,0.23109114895896538,7.125322018728323,0.6188120451866534
candidate_phi08,9,54.0,1.0000000000000002,0.0,0.0,0.23109114895896568,7.203890083025781,0.6547131631669619
candidate_phi08,10,58.0,1.000000000000001,0.0,0.0,0.23109114895896554,7.272451238850059,0.6896734954247529
candidate_phi08,11,62.0,1.000000000000002,0.0,0.0,0.23109114895896532,7.336566583379654,0.7230070157303373
candidate_phi08,12,66.0,1.0000000000000002,0.0,0.0,0.2310911489589657,7.560684567246854,0.7512607257637649
candidate_phi08,13,70.0,0.9391263063710129,0.0,0.0,0.2310911489589656,7.574569205477067,0.7646555392903606
candidate_phi08,14,74.0,0.8625852907341244,0.0,0.0,0.23109114895896557,7.541505576196506,0.7877912863189803
candidate_phi08,15,78.0,0.7633467444960466,0.0,0.0,0.23109114895896563,7.463848817332588,0.8594216671489641
candidate_phi08,16,82.0,0.6336135272169506,0.0,0.0,0.23109114895896557,7.3526100130686824,0.9179643549793858
