row_moment,column_moment,covariance,correlation,bootstrap_replicates,bootstrap_seed
tfr,tfr,0.000701390652,1.000000000000,1000,20260724
tfr,childless_rate,-0.000133133768,-0.658914731630,1000,20260724
tfr,parity_share_0,-0.000133133768,-0.658914731630,1000,20260724
tfr,parity_share_1,-0.000056124355,-0.278396378703,1000,20260724
tfr,parity_share_2,0.000001593729,0.006359990698,1000,20260724
tfr,parity_share_3plus,0.000187664394,0.793241936069,1000,20260724
tfr,capped_top_bin_mean,0.000265153821,0.358407440639,1000,20260724
childless_rate,tfr,-0.000133133768,-0.658914731630,1000,20260724
childless_rate,childless_rate,0.000058204698,1.000000000000,1000,20260724
childless_rate,parity_share_0,0.000058204698,1.000000000000,1000,20260724
childless_rate,parity_share_1,-0.000016096861,-0.277175199892,1000,20260724
childless_rate,parity_share_2,-0.000022400008,-0.310306780734,1000,20260724
childless_rate,parity_share_3plus,-0.000019707829,-0.289176863870,1000,20260724
childless_rate,capped_top_bin_mean,-0.000004385148,-0.020576162279,1000,20260724
parity_share_0,tfr,-0.000133133768,-0.658914731630,1000,20260724
parity_share_0,childless_rate,0.000058204698,1.000000000000,1000,20260724
parity_share_0,parity_share_0,0.000058204698,1.000000000000,1000,20260724
parity_share_0,parity_share_1,-0.000016096861,-0.277175199892,1000,20260724
parity_share_0,parity_share_2,-0.000022400008,-0.310306780734,1000,20260724
parity_share_0,parity_share_3plus,-0.000019707829,-0.289176863870,1000,20260724
parity_share_0,capped_top_bin_mean,-0.000004385148,-0.020576162279,1000,20260724
parity_share_1,tfr,-0.000056124355,-0.278396378703,1000,20260724
parity_share_1,childless_rate,-0.000016096861,-0.277175199892,1000,20260724
parity_share_1,parity_share_0,-0.000016096861,-0.277175199892,1000,20260724
parity_share_1,parity_share_1,0.000057944949,1.000000000000,1000,20260724
parity_share_1,parity_share_2,-0.000024442593,-0.339360740123,1000,20260724
parity_share_1,parity_share_3plus,-0.000017405496,-0.255966054046,1000,20260724
parity_share_1,capped_top_bin_mean,-0.000008422479,-0.039608760985,1000,20260724
parity_share_2,tfr,0.000001593729,0.006359990698,1000,20260724
parity_share_2,childless_rate,-0.000022400008,-0.310306780734,1000,20260724
parity_share_2,parity_share_0,-0.000022400008,-0.310306780734,1000,20260724
parity_share_2,parity_share_1,-0.000024442593,-0.339360740123,1000,20260724
parity_share_2,parity_share_2,0.000089527359,1.000000000000,1000,20260724
parity_share_2,parity_share_3plus,-0.000042684758,-0.505008522187,1000,20260724
parity_share_2,capped_top_bin_mean,0.000002338465,0.008847325625,1000,20260724
parity_share_3plus,tfr,0.000187664394,0.793241936069,1000,20260724
parity_share_3plus,childless_rate,-0.000019707829,-0.289176863870,1000,20260724
parity_share_3plus,parity_share_0,-0.000019707829,-0.289176863870,1000,20260724
parity_share_3plus,parity_share_1,-0.000017405496,-0.255966054046,1000,20260724
parity_share_3plus,parity_share_2,-0.000042684758,-0.505008522187,1000,20260724
parity_share_3plus,parity_share_3plus,0.000079798083,1.000000000000,1000,20260724
parity_share_3plus,capped_top_bin_mean,0.000010469163,0.041954141332,1000,20260724
capped_top_bin_mean,tfr,0.000265153821,0.358407440639,1000,20260724
capped_top_bin_mean,childless_rate,-0.000004385148,-0.020576162279,1000,20260724
capped_top_bin_mean,parity_share_0,-0.000004385148,-0.020576162279,1000,20260724
capped_top_bin_mean,parity_share_1,-0.000008422479,-0.039608760985,1000,20260724
capped_top_bin_mean,parity_share_2,0.000002338465,0.008847325625,1000,20260724
capped_top_bin_mean,parity_share_3plus,0.000010469163,0.041954141332,1000,20260724
capped_top_bin_mean,capped_top_bin_mean,0.000780336231,1.000000000000,1000,20260724
