parameter,estimate,lower,upper,transform,near_bound,status,interpretation,structural_coordinate
beta_annual,0.99,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert,0.35050196169573417,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert_continuation,0.6768030757383553,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
chi,0.9233887004457901,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
H0,10.516133689627335,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
theta0,0.0,0.0,8.0,softzero,True,diagnostic candidate; not a certified estimate,structural coordinate,True
theta1,0.11962943040632229,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
first_birth_fixed_cost,0.1235503346789937,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
h_P,1.9146031192781623,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,True
hbar_child_rooms,0.0,,,,False,zero restriction,,False
psi_child,0.07848538019553308,,,,False,normalized to 2.1,,False
payroll_tax,0.179,,,,False,externally fixed,,False
pension_period,2.046361389612121,,,,False,budget derived,,False
housing_supply_elasticity,0.63,,,,False,externally fixed,,False
tenure_choice_kappa,0.005,,,,False,externally fixed,,False
alpha_cons,0.733,,,,False,externally fixed,,False
sigma,2.0,,,,False,externally fixed,,False
