moment,stored,repaired,diff
tfr,1.981051214697486,1.981051214697486,0.0
childless_rate,0.2292162291402862,0.2292162291402862,0.0
own_rate,0.5888894354362076,0.5888894354362075,-1.1102230246251565e-16
own_family_gap,0.042499956267355476,0.042499956267355476,0.0
housing_increment_0to1,0.6109060861362918,0.6109060861362918,0.0
prime30_55_childless_renter_mean_rooms,4.28902204958016,4.2890220495801605,8.881784197001252e-16
prime30_55_childless_owner_share_rooms_ge6,0.6766138227243199,0.6766138227243199,0.0
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.5207110465784297,1.0769082901134128,0.5561972435349831
prime30_55_childless_owner_minus_renter_mean_rooms,2.1511865208556467,2.1511865208556475,8.881784197001252e-16
own_rate_2534,0.40423023090039834,0.40423023090039834,0.0
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.5358035795078271,0.5358035795078306,3.552713678800501e-15
old_total_estate_wealth_to_annual_income_median_7684,6.553612691513909,7.141898424832107,0.5882857333181981
old_nonhousing_ge_1x_income_share_6575,0.6050828253507259,0.6050828253507263,4.440892098500626e-16
old_age_own_rate,0.7416600148864618,0.7416600148864619,1.1102230246251565e-16
aggregate_mean_occupied_rooms_18_85,5.743226061803136,5.743226061803137,8.881784197001252e-16
