rule,outer_scale,dissimilarity,inner_scale,households,explicit_births_per_household,births_per_household,ownership,rooms,signed_fixed_price_market_gap,mass_error,max_probability_error,infeasible_mass,birth_parity_identity_error,elapsed_seconds,joint_share_t0_a0,joint_share_t0_a1,joint_share_t1_a0,joint_share_t1_a1,occupied_value_decreases,value_decrease_mass,minimum_exposed_value_increment,budget_excess_mass,maximum_occupied_budget_excess,added_budget_excess_mass,choice_state_sha256
joint,0.005,0.05,0.00025,1.129247671247788,1.957299666050173e-209,2.961056801097225e-17,0.6312253525158777,6.302892649529282,-0.0022909449914858397,8.881784197001252e-16,2.220446049250313e-16,0.0,1.1930798015052548e-18,12.283332671970129,0.3687746474841214,4.0968638547976145e-219,0.6312253525158773,3.9033899914569106e-209,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,730ba6fe41942c8a3b793c8b2436c290d39b1741283bae802f98546b2fdc6f50
sequential,0.005,0.05,0.00025,1.129247671247788,1.9571669341907369e-209,2.961056801097225e-17,0.6312253525158777,6.302892649529282,-0.0022909449914858397,8.881784197001252e-16,2.220446049250313e-16,0.0,1.1930798015052548e-18,13.326333380304277,0.3687746474841214,1.3062328056221442e-214,0.6312253525158773,3.9031122259672334e-209,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,306549de6a38366a6049f490dc7806a42ede9e5c8adf152c16b6ebcb265c5fff
joint,0.005,0.5,0.0025,1.129247671247788,1.48976548542706e-25,2.96105681599488e-17,0.6312253525158777,6.302892649529282,-0.0022909449914858397,8.881784197001252e-16,2.220446049250313e-16,0.0,1.1930796332738347e-18,7.549131886102259,0.3687746474841214,6.5848464269527505e-28,0.6312253525158773,2.964414324774448e-25,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,8ab4597b062e9c4610dac1156a546c8bde186196f2d664250f167b8cd7125989
sequential,0.005,0.5,0.0025,1.129247671247788,1.4888882767919015e-25,2.9610568159861074e-17,0.6312253525158777,6.302892649529282,-0.0022909449914858397,8.881784197001252e-16,2.220446049250313e-16,0.0,1.1930796333728932e-18,6.634884782135487,0.3687746474841214,9.875607388127291e-28,0.6312253525158773,2.9593741702655128e-25,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,67202db86087bba04a8160b5cc19d51ef4439e713add6423f6b121080571ad92
joint,0.005,1.0,0.005,1.129247671247788,7.0262428847841115e-15,9.957689117870363e-15,0.6312253525158779,6.302892649529281,-0.002290944991485964,8.881784197001252e-16,2.220446049250313e-16,0.0,1.01070478548689e-18,9.139366606250405,0.3687746474841213,8.916440637852648e-17,0.6312253525158634,1.392304948378087e-14,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,34a0655f9b96ff0e80a3ae51bb58e240d08515f9c30c176f9dc664b28466d3f8
sequential,0.005,1.0,0.005,1.129247671247788,7.0262428847841154e-15,9.957689117870368e-15,0.6312253525158779,6.302892649529281,-0.002290944991485964,8.881784197001252e-16,3.3306690738754696e-16,0.0,1.0955583422955516e-18,8.544306205585599,0.3687746474841213,8.916440637852642e-17,0.6312253525158634,1.3923049483780874e-14,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,fff3d4bdefe2254daa669d4283f05c3005750be56402e258843299f0f5dd37a1
joint,0.05,0.05,0.0025000000000000005,1.129247671247788,1.176381627537313e-25,1.176381627537313e-25,0.49162431618874897,5.874011847716403,-0.07018013227123078,0.0,2.220446049250313e-16,0.0,5.936304636649156e-19,8.194918316788971,0.5083756838112515,3.108801738072052e-26,0.4916243161887488,2.0351460126162337e-25,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,4ed7739b488224f5f66bddfce6d5f8f43cd65ae2f4a53e5082011d4d9627ce5b
sequential,0.05,0.05,0.0025000000000000005,1.129247671247788,1.0359395560340113e-25,1.0359395560340113e-25,0.49162431618874897,5.874011847716403,-0.07018013227123078,0.0,2.220446049250313e-16,0.0,5.936304795243038e-19,10.767455840483308,0.5083756838112515,6.328858467756353e-26,0.4916243161887488,1.4330605001655692e-25,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,2a4dbab9fdee192d5612be6865bbae6855449c5d9e62f46b90bd7973344aad96
joint,0.05,0.5,0.025,1.129247671247788,1.099254795062838e-05,1.5321622724398165e-05,0.4916246197763144,5.874013146444229,-0.07017992669062136,4.440892098500626e-16,4.440892098500626e-16,0.0,6.183340514956392e-19,5.763247860595584,0.5083680801533776,7.300070308631206e-06,0.4916102754098676,1.4344366446300198e-05,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,9fd3db8c103354e18f001710f10b5ecfdf54b24ff04e85c98bce5c2f47bdfd17
sequential,0.05,0.5,0.025,1.129247671247788,1.0981735383095375e-05,1.5306805239361398e-05,0.49162462285069264,5.8740131565225635,-0.0701799250952832,4.440892098500626e-16,4.440892098500626e-16,0.0,7.301424005332069e-19,7.012447440996766,0.5083677849943173,7.592154990567974e-06,0.49161059166148374,1.4031189208420394e-05,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,58c170d5da7882544832e448ebd61c5240583e30e1a3deb8eceac1d70a9bcd99
joint,0.05,1.0,0.05,1.129247671247788,0.0002827536526394819,0.00038342483948755114,0.4916320677478067,5.874050629317132,-0.07017399338288748,2.220446049250313e-16,4.440892098500626e-16,0.0,7.047314121155779e-19,9.972176734358072,0.5081723586413693,0.000195573610824597,0.4912840676179341,0.00034800012987211794,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,b30e304c3f7b2801d9c172289dc5cd5fc25e07d70fb6270de6f3c0e4438aaec9
sequential,0.05,1.0,0.05,1.129247671247788,0.0002827536526394819,0.00038342483948755114,0.4916320677478067,5.874050629317132,-0.07017399338288748,2.220446049250313e-16,4.440892098500626e-16,0.0,1.3552527156068805e-18,8.805365064181387,0.5081723586413693,0.00019557361082459703,0.4912840676179341,0.00034800012987211794,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,75999aa9585413bff2019239366634c550bd9e64d56f36e44afa3b55c109858c
joint,0.5,0.05,0.025,1.129247671247788,1.0813030916715746e-05,1.5070508612273328e-05,0.4279157634185525,5.6582955533929375,-0.10432669197433425,4.440892098500626e-16,4.440892098500626e-16,0.0,7.487771253728015e-19,7.285878705792129,0.5720745298517116,9.706729736041593e-06,0.4279041785743087,1.1584844243197816e-05,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,d0c6f3fc9a748f7641612372d1bda60b6a6ed04f002e5a99d44f785251884524
sequential,0.5,0.05,0.025,1.129247671247788,1.078967141003737e-05,1.5038396220151162e-05,0.4279157634661228,5.6582955494304334,-0.10432669260157419,1.5543122344752192e-15,4.440892098500626e-16,0.0,7.979050363135509e-19,7.011633183807135,0.5720739160124437,1.0320521433814412e-05,0.4279048380248419,1.0925441280351254e-05,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,fab4503f355fc9228846b7f8d420bfd971576c9ee06f3940a61db75607d04e6e
joint,0.5,0.5,0.25,1.129247671247788,0.008606542982356512,0.01063243166637816,0.42792115406224773,5.659724379800836,-0.10410051756133641,2.220446049250313e-16,4.440892098500626e-16,0.0,1.5612511283791264e-17,7.844548691064119,0.5642239298762229,0.007854916061529996,0.42110515027478984,0.006816003787457732,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,54ea7dec9cc56b352ea266f655a8a6cd78419e96a8475a69ebbbf6616770b42a
sequential,0.5,0.5,0.25,1.129247671247788,0.008605900768230684,0.010631692860463242,0.42792110058926086,5.6597220610219985,-0.10410088460973332,2.220446049250313e-16,4.440892098500626e-16,0.0,5.204170427930421e-18,8.188993125222623,0.5642224078365186,0.007856491574221526,0.42110765107591513,0.006813449513345628,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,693280b59b63487a29acc1379e660f2d5f467b1d41b7ab472df81a3256810737
joint,0.5,1.0,0.5,1.129247671247788,0.01960597193645152,0.023583719979955196,0.42789753526947816,5.662314388114162,-0.10369053521030491,2.220446049250313e-16,4.440892098500626e-16,0.0,1.3877787807814457e-17,6.041674755513668,0.5550485026776082,0.017053962052914564,0.4148646878156883,0.01303284745378942,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,884715ace90831e01e43113f49e36cd0b07ae23124726193a237c4d13e423c78
sequential,0.5,1.0,0.5,1.129247671247788,0.01960597193645152,0.023583719979955196,0.42789753526947816,5.662314388114162,-0.10369053521030491,2.220446049250313e-16,4.440892098500626e-16,0.0,1.734723475976807e-17,6.252414089627564,0.5550485026776081,0.017053962052914564,0.4148646878156883,0.013032847453789416,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,ba26e0bbc3270f06056f35e3fb703c84ca0f0f4d1ec5bd1de33e6a87af988e9e
joint,2.5,0.05,0.125,1.129247671247788,0.0030301406667831384,0.003918246984321804,0.4229268700699046,5.637089716591012,-0.10768344522601687,6.661338147750939e-16,4.440892098500626e-16,0.0,1.734723475976807e-18,7.493562215939164,0.5741983559608486,0.0028747739692452407,0.4202457242221582,0.0026811458477461465,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,aa5e77dfc73e21f2af064c774e2667b569e621ab9bf6dd0907bb02f8b98af83b
sequential,2.5,0.05,0.125,1.129247671247788,0.003029287848803465,0.003917183621784566,0.4229268702253752,5.637088315703161,-0.10768366697792849,6.661338147750939e-16,4.440892098500626e-16,0.0,2.168404344971009e-18,7.722868300974369,0.574180247160081,0.0028928826145425655,0.4202653282225987,0.002661542002775848,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,579a267bba17697b432f2eb3db30a8612d9704d39e92ba4ce07afd45500ad2d2
joint,2.5,0.5,1.25,1.129247671247788,0.05041083265886365,0.05934513021005876,0.42290002059713155,5.649269101620567,-0.10575552365030516,2.220446049250313e-16,4.440892098500626e-16,0.0,4.163336342344337e-17,7.531491651199758,0.535264891709335,0.04183508769353298,0.39632150637204167,0.02657851422508924,0,0.0,8.243174727540215e-05,3.290362190450393e-09,0.024533508907308432,0.0,8b560761c9a1d46a03d702d3905d3b5a9774cee5651654efca8fc17bb9a9ce12
