window,age_lower,age_upper,n,total_weight,mean_CEB_uncapped,mean_CEB_capped5,mean_model_coded_CEB,share_0,share_1,share_2,share_3plus,exactly_one_given_mothers,frever999_excluded_positive_weight_n
2004,20,24,4245,10068098.0018,0.48927883914313286,0.48714512741365235,0.49682705197068905,0.6887534611761073,0.18326990917948097,0.09202721485571068,0.035949414788701006,0.5888255331995113,0
2004,25,29,4226,9497590.9997,1.0600390277616725,1.0463235319265587,1.069477415793157,0.44159653706213275,0.23472067419732184,0.20673576578124078,0.11694702295930454,0.4203424401460757,0
2004,30,34,4636,10081557.9987,1.563709840327539,1.5556278184207555,1.6011697011172314,0.2758393597059692,0.20925783055278113,0.28891964634589173,0.22598316339535793,0.28896603724253256,0
2004,35,39,4913,10442025.9944,1.8435773850136012,1.8165002423449628,1.857747874844407,0.1960602249599778,0.18800730366433113,0.3426631770998189,0.27326929427587215,0.23385744741261452,0
2004,40,44,5600,11534656.9936,1.894658062500325,1.8712915395903205,1.9034215892059247,0.1928386121957651,0.17362848998554725,0.34475417737228137,0.28877872044640635,0.21511000477596962,0
2006,20,24,4176,10078696.9992,0.48855613661079855,0.4843485014171454,0.49550348871487876,0.6857076468067813,0.18761646292671497,0.09264155033871077,0.03403433992779299,0.5969488631222704,0
2006,25,29,4312,10003550.9952,1.0294516077182359,1.0254545525306145,1.0536799391308447,0.45554814660180476,0.2293556266270754,0.19394247294095104,0.12115375383016869,0.4212597040409592,0
2006,30,34,4356,9647058.0029,1.5952466026610168,1.5820798728287906,1.623526985972545,0.26161756817895243,0.2179103696451353,0.2928873599133152,0.22758470226259694,0.29511857305124445,0
2006,35,39,4908,10450052.0053,1.8735958717592927,1.8502291608590833,1.894143450276578,0.18944464233249206,0.1760859878560168,0.3541834884862609,0.28028588132523025,0.21724116211227093,0
2006,40,44,5272,11234864.9964,1.8616754439151721,1.8415328894676988,1.8779116568734078,0.20386405489820397,0.16889319169460562,0.3435779575310322,0.2836647958761581,0.21214114591071567,0
pooled,20,24,8421,20146795.001,0.48891729777421583,0.48574607877899467,0.49616492218707214,0.6872297528074699,0.18544432938909422,0.09233454419463073,0.03499137360880521,0.5929091115720522,0
pooled,25,29,8538,19501141.9949,1.0443485201854423,1.0356183178596234,1.0613737435349757,0.44875333011208485,0.2319685519382937,0.20017315742949224,0.11910496052012931,0.42080717147091296,0
pooled,30,34,8992,19728616.0016,1.5791309410996388,1.5685625576416662,1.6121021468482994,0.26888507321394384,0.21348881900577404,0.2908598109737968,0.22676629680648525,0.29200445946885534,0
pooled,35,39,9821,20892077.9997,1.858592394416562,1.8333711803416595,1.8759526535186237,0.1927511629076737,0.1820443558823882,0.3484255456448386,0.2767789355650996,0.2255120695349698,0
pooled,40,44,10872,22769521.99,1.8783838839209643,1.856608121258149,1.8908345596692926,0.19827875100684098,0.1712920141895346,0.34417381072565945,0.28625542407796506,0.2136553252201454,0
