parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.30087533088716095,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.026463725533697857,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
