moment,model,source
Initial model completed fertility,2.099999998494911,exact_stationary_key
"Childless women, ages 40–44",0.2098634077155303,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,25.902454417092553,approximate_stationary_analogue
First births at age 30+,0.22265628453837302,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.1825672159853235,exact_stationary_key
Annual bequests / aggregate wealth,0.008300747755647755,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.149631146435482,exact_stationary_key
"Mean occupied rooms, capped at 9",5.7422606091428365,approximate_stationary_analogue
"Ownership, heads 30–55",0.44946302564798946,exact_stationary_key
"First-birth room response, −1 to +3",1.1044854599952272,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.14930177456712013,approximate_stationary_analogue
Recent-parent ownership gap,0.43171988876217826,exact_stationary_key
