event_horizon_years,denominator_all_eligible_treated,documented_second_child_by_h_all,share_second_child_by_h_all,documented_later_distinct_birth_by_h_all,share_later_distinct_birth_by_h_all,denominator_singleton_pruned_treated,documented_later_distinct_birth_by_h_all_pruned,share_later_distinct_birth_by_h_all_pruned,event_time_room_observed_women,documented_second_child_by_h_event,share_second_child_by_h_event,documented_later_distinct_birth_by_h_event,share_later_distinct_birth_by_h_event,documented_second_child_by_h_childid_event,share_second_child_by_h_childid_event,documented_later_distinct_birth_by_h_childid_event,share_later_distinct_birth_by_h_childid_event,event_group_history_incomplete,event_group_reported_children_ge2,singleton_pruned_reconstruction_women,documented_second_child_by_h_pruned,share_second_child_by_h_pruned,documented_later_distinct_birth_by_h_pruned,share_later_distinct_birth_by_h_pruned
3,2486,1145,0.460579243765085,1113,0.447707160096541,2458,1108,0.450772986167616,1344,677,0.503720238095238,665,0.494791666666667,677,0.503720238095238,665,0.494791666666667,1,995,1344,677,0.503720238095238,665,0.494791666666667
4,2486,1366,0.549477071600965,1336,0.537409493161706,2458,1331,0.541497152156225,1329,807,0.607223476297968,791,0.595184349134688,807,0.607223476297968,791,0.595184349134688,0,1008,1329,807,0.607223476297968,791,0.595184349134688
