cohort,before,after,contrast,fitted_weight_before,fitted_weight_after
1971,0.0,0.9025207889680705,0.9025207889680705,373.9000028371811,520.4999994039536
1972,0.6778406989487532,0.9181279624360058,0.2402872634872526,422.0000023841858,571.1000001430511
1974,0.3154415465939056,0.8426149393477289,0.5271733927538234,308.6000003814697,395.5000021457672
1975,-0.1360807458388067,-0.0838176533554152,0.05226309248339149,485.2000029087067,1131.600004196167
1976,0.327487112571944,1.084486184632941,0.7569990720609969,648.8999997377396,652.6999961137772
1978,0.8265697059495107,1.913015741691821,1.0864460357423102,951.0999962091446,1211.299987792969
1982,0.3468845163608879,1.29085601002967,0.9439714936687821,1113.599997103214,1337.299993336201
1986,-0.7224772414929879,0.3506681905522911,1.073145432045279,913.0999987721443,1487.499994397163
1987,0.2563486401758456,0.6828119490775981,0.42646330890175255,1165.199988305569,1482.524007320404
1988,-0.216066703553879,0.6377233921558635,0.8537900957097425,1123.999996185303,1443.614006698132
1989,0.0661441946574808,0.1924143261487563,0.12627013149127553,1172.999996483326,1322.331011354923
1990,0.8153726722973623,1.510872425772569,0.6954997534752067,894.299991607666,1030.735003471375
1991,0.3793793877884525,0.8667504695983596,0.48737108180990707,1452.787014484406,1677.181004226208
1992,0.0168127098469514,0.7387896574232994,0.721976947576348,1214.328012347221,1370.637008011341
1993,0.1513843019825435,1.005223980867422,0.8538396788848784,1251.335020303726,1529.70799767971
1994,0.0378800938192927,0.9468452775465149,0.9089651837272222,1259.539001822472,1348.321998357773
1996,0.0003714346348085,1.431631427226082,1.4312599925912735,893.7710028886795,1179.152996063232
1998,0.3887182890649238,1.522414823481593,1.1336965344166692,1093.821010112762,1107.310008525848
2000,0.704727503864068,1.534746340438962,0.8300188365748941,1359.499994754791,1461.104998469353
2002,0.8250584994314998,1.896473109503051,1.0714146100715511,934.8230032324791,942.454006254673
2004,1.003450817082932,1.88286183434238,0.879411017259448,1547.000991344452,1575.88400092721
2006,0.54088341421473,1.859050634406154,1.318167220191424,1046.979999303818,1068.852003931999
2008,0.891431286509195,1.691892751084283,0.8004614645750879,1159.714999914169,1231.135998606682
2010,1.066774240792221,1.990386435378075,0.923612194585854,1376.062003433704,1428.757999897003
2012,1.339944945745293,2.029295815432306,0.689350869687013,1471.146992206573,1442.585991501808
2014,0.9234155612787845,2.075896889761742,1.1524813284829571,1210.962000668049,1247.6840031147
2016,1.498782552239166,1.955064691023033,0.4562821387838669,1195.120005846024,1289.786996394396
