estimand,estimate,standard_error,status,formula,note
beta(+3),1.201745087898878,0.1025443893138914,available_marginal_SE,saved coefficient and marginal event-study SE,SE uses saved event-study table precision; covariance not needed.
beta(+3)-beta(-1),0.7202462623815278,0.0852600513385958,available_full_covariance,"sqrt(V33 + V(-1,-1) - 2 V(3,-1))",Receipt covariance=0.0047806126996336; component reconstruction with rounded event CSV SEs gives SE=0.085260047779.
beta(+4),0.8311618,0.0953111845848115,available_marginal_SE,saved coefficient and marginal event-study SE,SE uses saved event-study table precision; covariance not needed.
"mean(beta(+2), beta(+3), beta(+4))",0.9196888192996259,,unavailable_missing_pairwise_covariances,(beta2 + beta3 + beta4)/3,"Requires all pairwise covariance terms V22,V33,V44,V23,V24,V34; only V(3,-1) is stored in the target receipt."
