moment,model,source
Initial model completed fertility,1.789918645093955,exact_stationary_key
"Childless women, ages 40–44",0.26191797560845903,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.382799055558984,approximate_stationary_analogue
First births at age 30+,0.3096770494406238,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.300539322537231,exact_stationary_key
Annual bequests / aggregate wealth,0.008159348134374668,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",3.8514267693257844,exact_stationary_key
"Mean occupied rooms, capped at 9",5.621053278119008,approximate_stationary_analogue
"Ownership, heads 30–55",0.7367739922519544,exact_stationary_key
"First-birth room response, −1 to +3",0.9072894117593455,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.35374682007899416,approximate_stationary_analogue
Recent-parent ownership gap,0.26837999223166464,exact_stationary_key
