source,age,model_owner_rate,model_current_child_rate,model_mean_rooms,model_population_mass,acs_owner_rate,acs_current_child_u18_rate,acs_mean_rooms,acs_population_weight
model,18.0,0.0707731309241585,0.026793274885431106,3.237805379909597,0.06173345608686203,,,,
model,22.0,0.12090497966386499,0.076096920984248,3.6561126229315533,0.061733456242313994,,,,
model,26.0,0.16765805660316468,0.14782234596219,4.192622671677541,0.061733456227579704,,,,
model,30.0,0.2684301674589001,0.23864963190780372,4.66958382671668,0.061733456154931234,,,,
model,34.0,0.39184896616440373,0.33409508526124815,5.193908849069475,0.061733456138347124,,,,
model,38.0,0.5662734827300948,0.4334270277924794,5.682420149030733,0.06173345608802854,,,,
model,42.0,0.7445221376068407,0.5318658567761921,6.098527641308552,0.0617334560625213,,,,
model,46.0,0.8356707288973076,0.41367344447660337,6.2110985895392545,0.061733456048449126,,,,
model,50.0,0.8848305631573772,0.3217460123850602,6.305825156842464,0.061733456076526874,,,,
model,54.0,0.9166044296874468,0.25024689842336906,6.395458297302731,0.06173345616443371,,,,
model,58.0,0.9350271058273448,0.19463647677275012,6.467237756044962,0.06173345616473617,,,,
model,62.0,0.9462294956320784,0.15138392644739626,6.5113510302062645,0.06173345620146863,,,,
model,66.0,0.9521244783864324,0.11774305392122135,6.5253663684865995,0.0617334562767585,,,,
model,70.0,0.9548633643948731,0.09157793075953492,6.517732683013615,0.05797551273352499,,,,
model,74.0,0.9552290377110922,0.07122727948670002,6.50115393258937,0.05325037135994639,,,,
model,78.0,0.9505325232850981,0.05539899514001632,6.475667432856887,0.04712403295037485,,,,
ACS_2012_2023,22.0,,,,,0.0952931325650835,0.08234384501619021,5.890350967095942,12879384.0
ACS_2012_2023,23.0,,,,,0.117346214391247,0.1027219134335739,5.742537662849084,13423241.0
ACS_2012_2023,24.0,,,,,0.142489546477967,0.12844773795034972,5.573104656076128,13562987.0
ACS_2012_2023,25.0,,,,,0.174239501476204,0.1561221302414973,5.40869822262649,14915323.0
ACS_2012_2023,26.0,,,,,0.208499587301693,0.18589485608007864,5.354822119095208,14652697.0
ACS_2012_2023,27.0,,,,,0.244822453239151,0.22364920784544787,5.284501549982557,14466937.0
ACS_2012_2023,28.0,,,,,0.282958434009372,0.2637003669546945,5.3007038575396415,14528224.0
ACS_2012_2023,29.0,,,,,0.325277146873716,0.3072119723317513,5.321390508648649,14328771.0
ACS_2012_2023,30.0,,,,,0.345733257411779,0.3463629803415535,5.3510543690094705,15648032.0
ACS_2012_2023,31.0,,,,,0.387048025573726,0.40377483343506,5.447472059414096,14407894.0
ACS_2012_2023,32.0,,,,,0.411904857362007,0.4455014028941313,5.527348375681467,14733471.0
