age,income_state,liquid_wealth,valid_state,expected_physical_rooms_after_current_choices,expected_family_size,family_size_probability_sum,family_size_n0_children,family_size_n0_probability,family_size_n0_tenure_choice,family_size_n0_rooms,family_size_n1_children,family_size_n1_probability,family_size_n1_tenure_choice,family_size_n1_rooms,family_size_n2_children,family_size_n2_probability,family_size_n2_tenure_choice,family_size_n2_rooms
42.0,0.6134533968572546,-12.0,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-11.3,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-10.6,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-9.9,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-9.2,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-8.5,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-7.800000000000001,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-7.1000000000000005,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-6.4,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-5.7,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-5.0,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.8604651162790695,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.72093023255814,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.5813953488372094,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.441860465116279,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.3023255813953485,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.162790697674419,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-4.023255813953488,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-3.883720930232558,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-3.744186046511628,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-3.604651162790698,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
42.0,0.6134533968572546,-3.4651162790697674,0,nan,nan,0.0,0.0,0.0,0,0.4015418909982497,2.0,0.0,0,0.4015418909982497,3.0,0.0,0,0.4015418909982497
