age,age_group,center_share,diagnostic,expected_completed_fertility_choice,expected_fertility_choice,mass,mass_share,mean_housing,mean_income,mean_liquid_wealth,own_rate,share,tenure,wealth_bin,z
18.0,,0.42668647485073985,age_z,,4.944485156058639e-19,0.005555555555631155,0.33333333333333326,4.214880801470447,0.35058162523036,0.31883369129402983,0.0,,,,-0.28
19.0,,0.3819355297339255,age_z,,5.280535405066397e-09,0.005166666666736974,0.30999999999999994,4.2338365303183885,0.35058162523036,0.3212875523999865,0.0,,,,-0.28
20.0,,0.349515953072154,age_z,,7.522861046484345e-07,0.0049100000000668175,0.29460000000000003,4.2523089471918,0.35058162523035996,0.32607506111193907,0.0,,,,-0.28
21.0,,0.327070883418871,age_z,,6.34552552266023e-06,0.004740600000064511,0.2844359999999999,4.271208310318719,0.35058162523035996,0.33266556119805446,0.0,,,,-0.28
22.0,,0.31270078328990114,age_z,,3.198446732181484e-05,0.004628796000062987,0.27772776,4.291361989475819,0.35058162523036007,0.3399586103108459,1.3272392702090494e-05,,,,-0.28
23.0,,0.3050416811095336,age_z,,0.0001442468163549654,0.004555005360061983,0.27330032159999995,4.314810428339971,0.35058162523036007,0.34642488561837625,8.977075513085844e-05,,,,-0.28
24.0,,0.30323558567127895,age_z,,0.0006678300390685455,0.004506303537660963,0.2703782122559921,4.350322303158487,0.35058162523036,0.34876254420563296,0.000714575512962718,,,,-0.28
25.0,,0.3068481986429604,age_z,,0.007703718698148554,0.004474160334873086,0.2684496200889116,5.640546861406345,0.5199777025540562,0.3457624084302133,0.001532412311495679,,,,-0.28
26.0,,0.31633528515291326,age_z,,0.009026163323350761,0.004452945821032403,0.2671767492586348,5.65363992078353,0.5199777025540562,0.3630096166915908,0.005107939775496908,,,,-0.28
27.0,,0.3238509365807567,age_z,,0.010908606427386959,0.004438944241897012,0.2663366545106613,5.680818020760335,0.5199777025540561,0.3852163626940726,0.011633182277636276,,,,-0.28
28.0,,0.33002926651432846,age_z,,0.01335562148588923,0.004429703199663964,0.26578219197698166,5.7199071733408555,0.5199777025540562,0.3851683594855668,0.027578583199033765,,,,-0.28
29.0,,0.3352910082438471,age_z,,0.016450008230952166,0.004423604111787284,0.2654162467047183,5.7700611815186305,0.5199777025540561,0.3665558043986399,0.05071052666098155,,,,-0.28
30.0,,0.3399723873815338,age_z,,0.020305492387575452,0.004419578713788027,0.26517472282509097,5.830398251394977,0.5199777025540561,0.32605487606503386,0.08054231209686123,,,,-0.28
31.0,,0.3442997226635441,age_z,,0.025094463357097703,0.004416921951107906,0.26501531706453957,5.897004844125034,0.5199777025540562,0.2736017055728939,0.11351811728601957,,,,-0.28
32.0,,0.34847384105358015,age_z,,0.031089605601123727,0.004415168487734714,0.2649101092624805,5.96771663637834,0.5199777025540562,0.22922011108035537,0.14319920357223884,,,,-0.28
33.0,,0.35273590131675336,age_z,,0.03850412566882707,0.004414011201907372,0.2648406721131789,6.052128665220493,0.5199777025540563,0.13761416483068525,0.1835469091508514,,,,-0.28
34.0,,0.3573928698020635,age_z,,0.0479769152170225,0.0044132473932616545,0.2647948435947331,6.1404319759768615,0.5199777025540562,0.05453039870411156,0.22015072317809392,,,,-0.28
35.0,,0.3624926192118208,age_z,,0.06047852811257409,0.004412743279550913,0.26476459677238734,6.538613169490617,0.6204984517351508,-0.033820447718507375,0.2550367118252962,,,,-0.28
36.0,,0.3681809679919683,age_z,,0.0683713901959874,0.00441241056450323,0.26474463386974545,6.607185330436995,0.6204984517351507,-0.14721820479123754,0.31222825700400964,,,,-0.28
37.0,,0.373508621999905,age_z,,0.07791248487490503,0.004412190972570893,0.2647314583539929,6.673527637336604,0.6204984517351505,-0.22474954002551098,0.3616998795252314,,,,-0.28
38.0,,0.378536808161066,age_z,,0.08948934133472537,0.004412046041894828,0.2647227625135829,6.741072914946494,0.6204984517351507,-0.3044748795500473,0.41222121040204607,,,,-0.28
39.0,,0.38336462097526597,age_z,,0.10368751225942606,0.004411950387646495,0.264717023258862,6.807765277794989,0.6204984517351505,-0.37747033117287565,0.4608047220820691,,,,-0.28
40.0,,0.38805354354392624,age_z,,0.12132473739974871,0.004411887255843932,0.26471323535081176,6.865441814220627,0.6204984517351508,-0.46348448055739283,0.5127821628049406,,,,-0.28
41.0,,0.392597852608027,age_z,,0.14325790542371136,0.004411845588852751,0.26471073533142925,6.921701455962758,0.6204984517351505,-0.5160384905830306,0.554288450123608,,,,-0.28
42.0,,0.39709585772086103,age_z,,0.16918938540613887,0.004411818088637561,0.26470908531861326,6.971613958584092,0.6204984517351506,-0.5581045977875764,0.5917782267730178,,,,-0.28
43.0,,0.4015638823311347,age_z,,nan,0.004411799938497026,0.26470799631024494,7.012512428091215,0.6204984517351506,-0.5894428808290337,0.6247846474537312,,,,-0.28
