moment,model,source
Initial model completed fertility,2.100000029676064,exact_stationary_key
"Childless women, ages 40–44",0.20159118880276342,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.130408892924343,approximate_stationary_analogue
First births at age 30+,0.2345017167142868,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.14060917540659,exact_stationary_key
Annual bequests / aggregate wealth,0.008197337881339556,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.297430422021411,exact_stationary_key
"Mean occupied rooms, capped at 9",5.780321711313913,approximate_stationary_analogue
"Ownership, heads 30–55",0.45118406864876687,exact_stationary_key
"First-birth room response, −1 to +3",1.1187629504079228,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.21235928067660836,approximate_stationary_analogue
Recent-parent ownership gap,0.4501179224989208,exact_stationary_key
