group,owner_numerator,denominator,ownership_rate,unweighted_mass
continuation_birth,0.009235584978679653,0.01706435427522593,0.5412208882751512,0.020747535002571624
current_empty,0.09334473018893225,0.1690336187101485,0.5522258288098046,0.6119775388603073
empty_former_parent,0.05923283615636578,0.09284672564886703,0.6379636518403012,0.3690517738060112
empty_never_parent,0.034111894032566425,0.0761868930612814,0.44773966573395124,0.2429257650542961
first_birth,0.006162731415573332,0.013795093359339124,0.44673357802259683,0.052024059886230156
selected_birth,0.015398316394252987,0.030859447634565062,0.49898224286443915,0.07277159488880175
