tax_reform,price_reform,rebate_reform,annual_tax_rate,asset_price,equal_rebate,births_per_adult,owner_rate,dependent_child_owner_rate,housing_demand_per_adult
0,0,0,0.01,0.7124424122645823,0.1834013905892734,0.08655464603610417,0.6422685035114682,0.6072349417115154,6.435442259823674
0,0,1,0.01,0.7124424122645823,0.3383078187686669,0.08784556034678777,0.6474862847586526,0.6136302974037109,6.564165497552244
0,1,0,0.01,0.6779512875142738,0.1834013905892734,0.08680656320712994,0.6476244305312999,0.6148538959960451,6.531811685422312
0,1,1,0.01,0.6779512875142738,0.3383078187686669,0.08806350288634683,0.6513223156014041,0.6203121446812265,6.667814041560369
1,0,0,0.02,0.7124424122645823,0.1834013905892734,0.08524509980649118,0.6109050623717709,0.5732512747708358,5.985815739307373
1,0,1,0.02,0.7124424122645823,0.3383078187686669,0.08671934283860082,0.6241181631580726,0.5857128467339636,6.1341186629579
1,1,0,0.02,0.6779512875142738,0.1834013905892734,0.08555550869853884,0.6209164381696411,0.5831394750970307,6.095070216873116
1,1,1,0.02,0.6779512875142738,0.3383078187686669,0.08698719059320047,0.6327983121671472,0.5964142087492718,6.237633183153575
