metric,factor,level_contribution,reported_contribution,reported_unit
births_per_adult,tax_rate,-0.00119149817704946,-1.3765848878319662,percent_of_baseline
births_per_adult,asset_price,0.00026131354714292504,0.3019058584491518,percent_of_baseline
births_per_adult,equal_rebate,0.0013627291870028277,1.5744148343399134,percent_of_baseline
owner_rate,tax_rate,-0.024975167185024533,-2.497516718502453,percentage_points
owner_rate,asset_price,0.006986593116405741,0.6986593116405742,percentage_points
owner_rate,equal_rebate,0.00851838272429776,0.8518382724297761,percentage_points
dependent_child_owner_rate,tax_rate,-0.02923251288567173,-2.923251288567173,percentage_points
dependent_child_owner_rate,asset_price,0.008868446700564376,0.8868446700564376,percentage_points
dependent_child_owner_rate,equal_rebate,0.009543333222863732,0.9543333222863732,percentage_points
housing_demand_per_adult,tax_rate,-0.43773384349828837,-6.80192325290604,percent_of_baseline
housing_demand_per_adult,asset_price,0.10211181886041563,1.586710201688818,percent_of_baseline
housing_demand_per_adult,equal_rebate,0.13781294796777374,2.141468175825879,percent_of_baseline
