case,calendar_year,age_group,young_nodes,total_households_mass,total_households_share_pct,dependent_child_households_mass,dependent_child_households_share_pct,no_dependent_child_households_mass,no_dependent_child_households_share_pct,zero_parity_households_mass,zero_parity_households_share_pct,ever_parent_households_mass,ever_parent_households_share_pct,empty_nest_households_mass,empty_nest_households_share_pct,total_households_per100_initial2023_households,total_households_change_since_own2023_pct,total_households_reform_difference_mass,total_households_reform_pct,total_households_reform_share_pp,dependent_child_households_per100_initial2023_households,dependent_child_households_change_since_own2023_pct,dependent_child_households_reform_difference_mass,dependent_child_households_reform_pct,dependent_child_households_reform_share_pp,no_dependent_child_households_per100_initial2023_households,no_dependent_child_households_change_since_own2023_pct,no_dependent_child_households_reform_difference_mass,no_dependent_child_households_reform_pct,no_dependent_child_households_reform_share_pp,zero_parity_households_per100_initial2023_households,zero_parity_households_change_since_own2023_pct,zero_parity_households_reform_difference_mass,zero_parity_households_reform_pct,zero_parity_households_reform_share_pp,ever_parent_households_per100_initial2023_households,ever_parent_households_change_since_own2023_pct,ever_parent_households_reform_difference_mass,ever_parent_households_reform_pct,ever_parent_households_reform_share_pp,empty_nest_households_per100_initial2023_households,empty_nest_households_change_since_own2023_pct,empty_nest_households_reform_difference_mass,empty_nest_households_reform_pct,empty_nest_households_reform_share_pp
tax1-equal-rebate,2023,all_ages,all model ages,1.129247671247481,100.0,0.4112146993029965,36.414925598095515,0.7180329719444847,63.585074401904485,0.27780947879138135,24.601288615852088,0.8514381924560996,75.3987113841479,0.44022349315310333,38.98378578605241,100.0,0.0,,,,36.414925598095515,0.0,,,,63.585074401904485,0.0,,,,24.601288615852088,0.0,,,,75.3987113841479,0.0,,,,38.98378578605241,0.0,,,
tax1-equal-rebate,2023,young_whole_nodes_25_34,26;30;34,0.2244787474359849,100.0,0.10698445827441977,47.659058817997355,0.11749428916156514,52.34094118200265,0.09202161152411366,40.993462666373645,0.13245713591187125,59.006537333626355,0.02547267763745148,11.347478515629003,19.87861061409168,0.0,,,,9.47395872477062,0.0,,,,10.404651889321062,0.0,,,,8.148930820681462,0.0,,,,11.729679793410218,0.0,,,,2.2557210686396,0.0,,,
tax1-equal-rebate,2027,all_ages,all model ages,1.1431387630601855,100.0,0.38495042873202184,33.67486443216295,0.7581883343281637,66.32513556783705,0.30084489182206986,26.317442951257053,0.8422938712381156,73.68255704874295,0.4573434425060938,40.00769261658,101.23011914625947,1.2301191462594563,,,,34.089105387019906,-6.38699701530423,,,,67.14101375923957,5.592412041321082,,,,26.64117885580638,8.291802400301385,,,,74.5889402904531,-1.0739853225993912,,,,40.49983490343319,3.8889222450098515,,,
tax1-equal-rebate,2027,young_whole_nodes_25_34,26;30;34,0.18765562371359684,100.0,0.08523098601919583,45.41882856080924,0.102424637694401,54.58117143919076,0.0820865223130427,43.74317203428155,0.10556910140055414,56.25682796571846,0.020338115381358296,10.837999404909212,16.617756094754085,-16.4038351705829,,,,7.547590151329786,-20.333301309453134,,,,9.070165943424298,-12.825858664876922,,,,7.269133636765586,-10.796473835352838,,,,9.3486224579885,-20.29942315014779,,,,1.801032306658712,-20.157135928827675,,,
tax1-equal-rebate,2031,all_ages,all model ages,1.139550598726462,100.0,0.36005272347191253,31.596027756406773,0.7794978752545495,68.40397224359323,0.31383031850350185,27.539831829690762,0.8257202802229602,72.46016817030925,0.46566755675104765,40.86414041390246,100.91237092989525,0.9123709298952454,,,,31.88430072865786,-12.441669988403337,,,,69.02807020123738,8.560178391754558,,,,27.7910972494469,12.966022566555413,,,,73.12127368044835,-3.0205260300753434,,,,41.236972951790484,5.779805938047766,,,
tax1-equal-rebate,2031,young_whole_nodes_25_34,26;30;34,0.12418106557221739,100.0,0.05595507856474311,45.05926753559905,0.06822598700747429,54.940732464400966,0.05476907990946874,44.10421158579754,0.06941198566274864,55.89578841420246,0.013456907098005545,10.836520878603423,10.996796250643088,-44.6802572668353,,,,4.955075842921994,-47.69793718895513,,,,6.041720407721096,-41.932507959040066,,,,4.850050286042679,-40.482372561887956,,,,6.1467459646004095,-47.59664310654349,,,,1.191670121678417,-47.17121109317388,,,
tax1-equal-rebate,2035,all_ages,all model ages,1.1202327440933337,100.0,0.3355013172405255,29.949251082824333,0.7847314268528082,70.05074891717567,0.3204009631105319,28.601285295391907,0.7998317809828018,71.39871470460808,0.46433046374227627,41.44946362178376,99.20168733718188,-0.7983126628181125,,,,29.710162419010953,-18.412129282052458,,,,69.49152491817092,9.289051828316364,,,,28.372957613150056,15.33118470415269,,,,70.82872972403182,-6.061087220486494,,,,41.11856730502087,5.476075439887729,,,
tax1-equal-rebate,2035,young_whole_nodes_25_34,26;30;34,0.1229291805625422,100.0,0.050465261268684565,41.05230429239666,0.07246391929385763,58.94769570760332,0.06173254014281717,50.21797091652274,0.061196640419725036,49.78202908347726,0.010731379151040464,8.729724791080585,10.885936158428578,-45.23794258180357,,,,4.4689276368341355,-52.82935289606366,,,,6.417008521594441,-38.325581770009876,,,,5.466696254030896,-32.91517164243471,,,,5.419239904397681,-53.798910116521405,,,,0.950312267563545,-57.87102045659096,,,
tax1-equal-rebate,2039,all_ages,all model ages,1.091174691431752,100.0,0.3117044273378644,28.565950968755594,0.7794702640938874,71.4340490312444,0.3229072869927277,29.59262980788481,0.7682674044390243,70.4073701921152,0.45656297710115973,41.84141922335959,96.62846505818605,-3.3715349418139473,,,,27.60283995038256,-24.199103809713197,,,,69.02562510780348,8.556333002790417,,,,28.594903953710322,16.233358342395565,,,,68.03356110447574,-9.768270762808617,,,,40.43072115409316,3.7116337956033973,,,
tax1-equal-rebate,2039,young_whole_nodes_25_34,26;30;34,0.13485156886228505,100.0,0.054520904283973784,40.430307740544244,0.08033066457831127,59.56969225945576,0.06910802669954623,51.247476972345545,0.06574354216273882,48.752523027654455,0.01122263787876504,8.322215287110211,11.941717684776307,-39.926799127948186,,,,4.8280732094620555,-49.038481697850635,,,,7.113644475314251,-31.630153983186847,,,,6.119829020608253,-24.90022120354095,,,,5.821888664168053,-50.366175661173514,,,,0.9938154547059974,-55.94244924504979,,,
