arm,design,outcome,observations,clusters,treated_individuals,control_individuals,baseline_mean,p3p4_effect,p3p4_se,m1p0_effect,m1p0_se,p1p2_effect,p1p2_se,p5p6_effect,p5p6_se,dropped_cohorts
H_own,H,own,61229,5238,3619,1619,.4123234936666113,.1613078196831912,.0190783349770685,0.1096519325045034,0.014160480154023733,0.1561600520029078,0.017070798061101303,0.1356949140567285,0.020583044193228563,1968 1969 1970 1985 1986
H_moved,H,moved,63817,5315,3656,1659,.5800679526853239,-.1587042225062316,.0170693291664111,-0.0432556584136029,0.015034539253156379,-0.12179242280198,0.01660529277146296,-0.1571520566213355,0.018425759569575414,1968 1969 1970 1985 1986
H_moved_space,H,moved_space,62813,5282,3640,1642,.0696116008647301,.0204264423269808,.0097459468685424,0.0140815523698919,0.008571393875164061,0.0340082063011251,0.009462697904863072,0.0067497611969073,0.010336694356659676,1968 1969 1970 1985 1986
H_moved_nbhd,H,moved_nbhd,62813,5282,3640,1642,.0316429114174389,-.009830130728163,.0054471177694293,-0.0042449499568813,0.005566443422805984,-0.0051317534347712,0.005773325393618482,0.0020628780701812,0.006346416788842346,1968 1969 1970 1985 1986
H_space_c,H,space_c,19456,4327,3105,1222,.1221563634402136,.1334505474458456,.0230924296914819,0.054130903294407,0.017024617187232142,0.1404712652404869,0.021135191998280973,0.1077866489771021,0.02633412438442562,1968 1969 1970 1985 1986
H_nbhd_c,H,nbhd_c,19456,4327,3105,1222,.0539806931034227,-.0168861938133445,.0143872609963161,-0.0173288526672485,0.011600385761107257,-0.0111894135992379,0.013978534527524693,0.022432062713089,0.018238363741868404,1968 1969 1970 1985 1986
A2h_own,A2h,own,111272,9070,3142,5928,.4300456883482767,.2688572025306991,.0129150964491937,0.16058557415105,0.009039147120945648,0.2453369847069905,0.011399649219989183,0.2603550085448113,0.01411176501480945,
A2h_moved,A2h,moved,118875,9346,3323,6023,.5361402910661546,-.2114666960744194,.0116021020341603,-0.0745762637019792,0.010351959300137341,-0.1676120650966785,0.011104808645947033,-0.208076148476217,0.012161454365473728,
A2h_moved_space,A2h,moved_space,116697,9245,3255,5990,.0644292803310159,.009927141953336,.006333275710267,0.0149148029291349,0.005823695508566704,0.0213922813234712,0.006261858333226647,0.0085826886830926,0.006447038281831433,
A2h_moved_nbhd,A2h,moved_nbhd,116697,9245,3255,5990,.0301630132610839,-.0094312898505882,.0036582526288566,-0.0085228807494064,0.00358062947084727,-0.0076333917859687,0.0038184837810183244,-0.0033504575411402,0.003909399463485409,
A2h_space_c,A2h,space_c,27462,5488,2184,3304,.1233852851071249,.1421000857925909,.0201543334146507,0.0498119624987515,0.01286538200091237,0.1142994590488289,0.016896193736735503,0.1467139532929654,0.02238073902975056,
A2h_nbhd_c,A2h,nbhd_c,27462,5488,2184,3304,.0575311410050339,-.0017256117466048,.0126178227340164,-0.0222672498477276,0.008553393642432225,0.0048330109035557,0.0110872674740578,0.0120529361205357,0.01452560933543237,
