f_c_y,K,lastcohort,rows
1981,5,0,124
1981,6,0,126
1981,7,0,123
1981,8,0,122
1981,9,0,155
1981,10,0,158
1981,11,0,159
1981,12,0,161
1981,13,0,180
1981,14,0,146
1981,15,0,116
1981,16,0,125
1981,18,0,122
1981,20,0,118
1981,22,0,120
1981,24,0,118
1981,26,0,109
1981,28,0,108
1981,30,0,102
1981,32,0,101
1981,34,0,98
1981,36,0,91
1981,38,0,85
1982,-12,0,2
1982,-11,0,3
1982,-10,0,3
1982,-9,0,5
1982,-8,0,5
1982,-5,0,27
1982,-4,0,35
1982,-3,0,44
1982,-2,0,64
1982,-1,0,84
1982,0,0,114
1982,1,0,132
1982,2,0,142
1982,3,0,147
1982,4,0,151
1982,5,0,155
1982,6,0,158
1982,7,0,154
1982,8,0,193
1982,9,0,189
1982,10,0,187
1982,11,0,189
1982,12,0,204
1982,13,0,166
1982,14,0,123
1982,15,0,125
1982,17,0,126
1982,19,0,129
1982,21,0,127
1982,23,0,127
1982,25,0,123
1982,27,0,121
1982,29,0,113
1982,31,0,111
1982,33,0,103
1982,35,0,100
1982,37,0,90
1983,-12,0,1
1983,-11,0,2
1983,-10,0,2
1983,-9,0,3
1983,-6,0,21
1983,-5,0,31
1983,-4,0,40
1983,-3,0,52
1983,-2,0,75
1983,-1,0,99
1983,0,0,129
1983,1,0,134
1983,2,0,148
1983,3,0,151
1983,4,0,159
1983,5,0,163
1983,6,0,162
1983,7,0,198
1983,8,0,197
1983,9,0,196
1983,10,0,199
1983,11,0,207
1983,12,0,173
1983,13,0,136
1983,14,0,140
1983,16,0,144
1983,18,0,141
1983,20,0,145
1983,22,0,140
1983,24,0,136
1983,26,0,129
1983,28,0,125
1983,30,0,118
1983,32,0,114
1983,34,0,107
1983,36,0,101
1984,-13,0,1
1984,-12,0,3
1984,-11,0,4
1984,-10,0,4
1984,-7,0,10
1984,-6,0,13
1984,-5,0,21
1984,-4,0,31
1984,-3,0,40
1984,-2,0,60
1984,-1,0,79
1984,0,0,103
1984,1,0,122
1984,2,0,119
1984,3,0,130
1984,4,0,133
1984,5,0,133
1984,6,0,171
1984,7,0,178
1984,8,0,172
1984,9,0,179
1984,10,0,196
1984,11,0,158
1984,12,0,115
1984,13,0,117
1984,15,0,120
1984,17,0,120
1984,19,0,112
1984,21,0,111
1984,23,0,109
1984,25,0,99
1984,27,0,97
1984,29,0,91
1984,31,0,76
1984,33,0,77
1984,35,0,73
1985,-8,0,7
1985,-7,0,11
1985,-6,0,12
1985,-5,0,21
1985,-4,0,33
1985,-3,0,45
1985,-2,0,62
1985,-1,0,76
1985,0,0,91
1985,1,0,103
1985,2,0,110
1985,3,0,99
1985,4,0,97
1985,5,0,136
1985,6,0,142
1985,7,0,149
1985,8,0,153
1985,9,0,161
1985,10,0,113
1985,11,0,95
1985,12,0,98
1985,14,0,95
1985,16,0,89
1985,18,0,88
1985,20,0,90
1985,22,0,90
