age_node,household_mass,owner_rate,mean_rooms
18.0,0.01433712204913918,0.0657622687677541,3.867608712294212
22.0,0.04474122812785891,0.1727860266836303,4.371175148949334
26.0,0.06510271539525242,0.24436170118035672,4.83202642026092
30.0,0.07781168019049242,0.3437036250370566,5.173643282634086
34.0,0.08156435185024877,0.42936394493595237,5.488014944560142
38.0,0.08281187458055063,0.5215925717275941,5.745502828612289
42.0,0.08147983007376763,0.606451590351296,5.964335913727008
46.0,0.07516298442005803,0.6693124728336287,6.1584759325077325
50.0,0.08066019718384983,0.7175431403866115,6.300285518053019
54.0,0.07858640289691476,0.7603259966425853,6.432815687347521
58.0,0.08646102535792043,0.8011988253125009,6.562471850687801
62.0,0.08806977795654075,0.8354855606593727,6.699076131460511
66.0,0.08000900833911546,0.8591835016772763,6.856616608585192
70.0,0.0696275794860473,0.8891896078939224,6.980577071109417
74.0,0.057175494945457865,0.9622567000207278,7.1071394803149275
78.0,0.03952768832536061,0.9879191645377132,7.180132897629639
82.0,0.02611871006890946,0.9955127036306958,7.208739589040675
