measurement,own_rate_2534,interpretation
production_whole_nodes,0.3548140066744175,unchanged model age_to_index aggregation
cells_start_at_node,0.3081672670084799,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.355174418352343,diagnostic uniform density within each four-year cell
