projection,restriction,parameter,coordinate,centered_derivative,minus_derivative,plus_derivative,base_moment,target,base_gap
uniform_birth_time,cps_childlessness,beta_annual,log annual discount rate,0.008311272003154332,0.008392139334862396,0.008232006110465663,0.18058501851824132,0.19827875100684264,-0.017693732488601316
uniform_birth_time,cps_exactly_one,beta_annual,log annual discount rate,0.0025029638458040067,0.002526996380511019,0.002479407234291216,0.23323606686283196,0.21365532522014702,0.019580741642684946
uniform_birth_time,nchs_mean_age,beta_annual,log annual discount rate,0.10720587608960651,0.108274200250306,0.10615870825940746,26.585140795182383,25.976263860992496,0.6088769341898868
uniform_birth_time,nchs_share30,beta_annual,log annual discount rate,0.0066692091291235866,0.006734686973541965,0.006605027961283283,0.26516756649743256,0.2492780130410667,0.015889553456365862
uniform_birth_time,wealth_earnings,beta_annual,log annual discount rate,-0.5673541962586041,-0.5710877328857269,-0.56369459593071,6.096876962747856,6.14586139445743,-0.04898443170957467
uniform_birth_time,bequest_wealth,beta_annual,log annual discount rate,0.00023645954916875998,0.0002368523158576573,0.0002360745605515244,0.012368034993361301,0.0088,0.0035680349933613006
uniform_birth_time,old_dispersion,beta_annual,log annual discount rate,-1.0544644157665533,0.010301867761275944,-2.0981448264584732,3.7297557246748427,3.51593508651872,0.21382063815612273
uniform_birth_time,mean_rooms,beta_annual,log annual discount rate,-0.0017975845292939434,-0.0018042599324465528,-0.0017910413210691614,6.246382336944046,5.561097376118652,0.6852849608253937
uniform_birth_time,ownership_30_55,beta_annual,log annual discount rate,-0.02176070722251635,-0.02173337245210648,-0.021787500674608967,0.5747683591158299,0.6483340343191493,-0.07356567520331936
uniform_birth_time,first_birth_rooms,beta_annual,log annual discount rate,-0.03874860890811913,-0.039007102799733656,-0.03849523404535795,0.43884666342482603,0.7202462623815278,-0.28139959895670175
uniform_birth_time,family_rooms,beta_annual,log annual discount rate,-0.014081509207828332,-0.014980068155256616,-0.013200744681574115,0.16621534127109694,0.3470669317962507,-0.18085159052515376
uniform_birth_time,cps_childlessness,kappa_fert,log parameter,-0.005100768807118455,-0.005673744730066947,-0.004516216833373682,0.18058501851824132,0.19827875100684264,-0.017693732488601316
uniform_birth_time,cps_exactly_one,kappa_fert,log parameter,0.037534487541419186,0.03808211138840198,0.036975799841286495,0.23323606686283196,0.21365532522014702,0.019580741642684946
uniform_birth_time,nchs_mean_age,kappa_fert,log parameter,2.5593810388414417,2.5737998696637785,2.5446708988884117,26.585140795182383,25.976263860992496,0.6088769341898868
uniform_birth_time,nchs_share30,kappa_fert,log parameter,0.1548814086300399,0.1556740259932535,0.15407277771635922,0.26516756649743256,0.2492780130410667,0.015889553456365862
uniform_birth_time,wealth_earnings,kappa_fert,log parameter,0.06548017658073099,0.06581982452945134,0.06513366659514354,6.096876962747856,6.14586139445743,-0.04898443170957467
uniform_birth_time,bequest_wealth,kappa_fert,log parameter,-0.00010921042849059906,-0.0001098150715017587,-0.00010859356964639922,0.012368034993361301,0.0088,0.0035680349933613006
uniform_birth_time,old_dispersion,kappa_fert,log parameter,-0.0039689188557473914,-0.004034729966170419,-0.0039017781383955136,3.7297557246748427,3.51593508651872,0.21382063815612273
uniform_birth_time,mean_rooms,kappa_fert,log parameter,0.0026088306305977926,0.002663644469028078,0.0025529093673131737,6.246382336944046,5.561097376118652,0.6852849608253937
uniform_birth_time,ownership_30_55,kappa_fert,log parameter,0.003267912336606846,0.0032841274719971336,0.003251369600660534,0.5747683591158299,0.6483340343191493,-0.07356567520331936
uniform_birth_time,first_birth_rooms,kappa_fert,log parameter,0.011966898203764918,0.01219190197318014,0.011737348597500738,0.43884666342482603,0.7202462623815278,-0.28139959895670175
uniform_birth_time,family_rooms,kappa_fert,log parameter,0.0039921193214717396,0.00513385878988427,0.0028273128557333035,0.16621534127109694,0.3470669317962507,-0.18085159052515376
uniform_birth_time,cps_childlessness,kappa_fert_continuation,log parameter,-0.0899561100612696,-0.0900042487501274,-0.08990699880814661,0.18058501851824132,0.19827875100684264,-0.017693732488601316
uniform_birth_time,cps_exactly_one,kappa_fert_continuation,log parameter,0.05792420147263796,0.05794152174081214,0.05790653127648922,0.23323606686283196,0.21365532522014702,0.019580741642684946
uniform_birth_time,nchs_mean_age,kappa_fert_continuation,log parameter,-2.1145741133360914,-2.1079046877134178,-2.121378283904753,26.585140795182383,25.976263860992496,0.6088769341898868
uniform_birth_time,nchs_share30,kappa_fert_continuation,log parameter,-0.12350334390476525,-0.12314520109715463,-0.12386872240792114,0.26516756649743256,0.2492780130410667,0.015889553456365862
uniform_birth_time,wealth_earnings,kappa_fert_continuation,log parameter,-0.04596302842468059,-0.04830467764432471,-0.043574069974005994,6.096876962747856,6.14586139445743,-0.04898443170957467
uniform_birth_time,bequest_wealth,kappa_fert_continuation,log parameter,8.706463032770024e-05,9.038895164907382e-05,8.367314647656215e-05,0.012368034993361301,0.0088,0.0035680349933613006
uniform_birth_time,old_dispersion,kappa_fert_continuation,log parameter,-0.0027060789214916857,-0.0024515597474051706,-0.002965740243389039,3.7297557246748427,3.51593508651872,0.21382063815612273
uniform_birth_time,mean_rooms,kappa_fert_continuation,log parameter,0.0052492396656311675,0.005040619621142064,0.005462074540334604,6.246382336944046,5.561097376118652,0.6852849608253937
uniform_birth_time,ownership_30_55,kappa_fert_continuation,log parameter,-0.005006305885551976,-0.0053731355808015425,-0.004632064990257667,0.5747683591158299,0.6483340343191493,-0.07356567520331936
uniform_birth_time,first_birth_rooms,kappa_fert_continuation,log parameter,-0.006260665654208368,-0.006286620839660323,-0.006234186086259375,0.43884666342482603,0.7202462623815278,-0.28139959895670175
uniform_birth_time,family_rooms,kappa_fert_continuation,log parameter,-0.050373142525310416,-0.049102965238542746,-0.05166898168756534,0.16621534127109694,0.3470669317962507,-0.18085159052515376
uniform_birth_time,cps_childlessness,chi,log parameter,-0.00038602981767998126,-0.0008954321026817147,0.0001336641156977897,0.18058501851824132,0.19827875100684264,-0.017693732488601316
