iteration,annual_births_per_head,household_heads,resident_persons,renewal_ratio,distribution_mapping_relative_l1,annual_birth_rate_relative_gap,housing_market_relative_residual
1.0,0.021268446120878866,0.9999999999997186,2.438645223599165,0.6969428866049158,0.21144124632319522,,0.16625369649492705
2.0,0.01686860618590551,0.9740625941161707,1.5973345443403848,0.5527651160497999,0.47574455171147095,0.2608300820164752,0.1535728176138308
3.0,0.01655597903297831,0.6600482400469521,1.5577341752387535,0.5425206783906582,0.02290616860799808,0.01888303629187201,0.4252606434882293
4.0,0.01653376555744494,0.6452676308963494,1.5549877816067617,0.54179276796073,0.0015911329661145363,0.001343521864767659,0.43804894922390025
5.0,0.016532187196478598,0.6442425553283923,1.5547929707701498,0.5417410468598213,0.00011287709423195271,9.547199941447703e-05,0.43893585311477584
6.0,0.016532075047286487,0.6441698433082877,1.5547791303132636,0.5417373718578379,8.01948758057197e-06,6.7837335476221065e-06,0.4389987641581727
7.0,0.01653206707861437,0.6441646774376576,1.5547781468989963,0.5417371107334794,5.698137758238124e-07,4.820130525786086e-07,0.43900323371232275
8.0,0.01653206651240681,0.6441643103839598,1.5547780770233324,0.5417370921794991,4.048763454498856e-08,3.424904923891033e-08,0.43900355129022606
9.0,0.01653206647217547,0.6441642843032714,1.554778072058384,0.5417370908611636,2.876810176756506e-09,2.4335335912899415e-09,0.43900357385545064
10.0,0.016532066469316906,0.6441642824501332,1.5547780717056083,0.5417370907674918,2.0440630548530407e-10,1.7291027018272662e-10,0.4390035754587982
11.0,0.016532066469113805,0.6441642823184619,1.5547780716805435,0.5417370907608363,1.4523261798724485e-11,1.2285301716322688e-11,0.4390035755727182
